,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,VIC,2023-01-27,2023-01-27,32.5,2.0,16.7,11.9,1.5,1.7
1,VIC,2023-01-30,2023-01-30,31.7,2.0,17.7,12.2,1.4,1.7
2,VIC,2023-01-31,2023-01-31,31.3,2.0,16.1,12.3,1.4,1.7
3,VIC,2023-02-01,2023-02-01,30.3,1.9,15.7,12.1,1.4,1.6
4,VIC,2023-02-02,2023-02-02,30.6,1.9,15.7,12.2,1.4,1.6
5,VIC,2023-02-03,2023-02-03,30.7,1.9,15.7,12.2,1.4,1.6
6,VIC,2023-02-06,2023-02-06,30.7,1.9,15.8,12.3,1.4,1.6
7,VIC,2023-02-07,2023-02-07,30.2,1.9,15.5,12.1,1.4,1.6
8,VIC,2023-02-08,2023-02-08,29.9,1.9,15.4,12.1,1.3,1.6
9,VIC,2023-02-09,2023-02-09,29.8,1.9,15.2,12.1,1.3,1.6
10,VIC,2023-02-10,2023-02-10,29.6,1.9,15.1,12.0,1.3,1.6
11,VIC,2023-02-13,2023-02-13,29.3,1.8,14.8,11.9,1.3,1.6
12,VIC,2023-02-14,2023-02-14,29.0,1.8,14.6,11.9,1.3,1.6
13,VIC,2023-02-15,2023-02-15,29.0,1.8,14.7,12.0,1.3,1.6
14,VIC,2023-02-16,2023-02-16,29.3,1.8,14.8,12.1,1.3,1.6
15,VIC,2023-02-17,2023-02-17,29.4,1.8,14.9,12.1,1.3,1.6
16,VIC,2023-02-20,2023-02-20,29.7,1.9,15.2,12.3,1.3,1.6
17,VIC,2023-02-21,2023-02-21,29.8,1.9,15.3,12.3,1.3,1.6
18,VIC,2023-02-22,2023-02-22,29.1,1.8,14.7,12.0,1.3,1.6
19,VIC,2023-02-23,2023-02-23,29.1,1.8,14.6,12.0,1.3,1.6
20,VIC,2023-02-24,2023-02-24,29.0,1.8,14.4,11.8,1.3,1.6
21,VIC,2023-02-27,2023-02-27,28.8,1.8,14.2,11.6,1.2,1.5
22,VIC,2023-02-28,2023-02-28,28.9,1.8,14.3,11.6,1.3,1.5
23,VIC,2023-03-01,2023-03-01,28.9,1.8,14.3,11.8,1.3,1.6
24,VIC,2023-03-02,2023-03-02,29.0,1.8,14.2,11.8,1.2,1.6
25,VIC,2023-03-03,2023-03-03,28.9,1.8,14.2,11.7,1.2,1.5
26,VIC,2023-03-06,2023-03-06,28.9,1.8,14.4,11.8,1.3,1.5
27,VIC,2023-03-07,2023-03-07,28.9,1.8,14.4,11.8,1.3,1.6
28,VIC,2023-03-08,2023-03-08,29.1,1.8,14.5,11.9,1.3,1.6
29,VIC,2023-03-09,2023-03-09,29.1,1.8,14.6,12.0,1.3,1.6
30,VIC,2023-03-10,2023-03-10,29.2,1.8,14.6,12.0,1.3,1.6
31,VIC,2023-03-13,2023-03-13,29.3,1.8,14.8,12.0,1.3,1.6
32,VIC,2023-03-14,2023-03-14,29.1,1.8,14.6,11.8,1.3,1.6
33,VIC,2023-03-15,2023-03-15,29.6,1.9,14.9,12.1,1.3,1.6
34,VIC,2023-03-16,2023-03-16,29.3,1.8,14.7,11.9,1.3,1.6
35,VIC,2023-03-17,2023-03-17,29.2,1.8,14.7,11.9,1.3,1.6
36,VIC,2023-03-20,2023-03-20,29.0,1.8,14.5,11.7,1.3,1.5
