,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,VJC,2023-01-27,2023-01-27,-28.0,4.2,-12.6,11.9,5.7,1.7
1,VJC,2023-01-30,2023-01-30,-27.3,4.0,-12.3,12.2,5.6,1.7
2,VJC,2023-01-31,2023-01-31,-28.1,4.2,-12.5,12.3,5.7,1.7
3,VJC,2023-02-01,2023-02-01,-27.5,4.1,-12.2,12.1,5.5,1.6
4,VJC,2023-02-02,2023-02-02,-27.0,4.0,-9.7,12.2,6.4,1.6
5,VJC,2023-02-03,2023-02-03,-26.3,3.9,-9.5,12.2,6.2,1.6
6,VJC,2023-02-06,2023-02-06,-26.4,3.9,-9.4,12.3,6.2,1.6
7,VJC,2023-02-07,2023-02-07,-26.4,3.9,-9.5,12.1,6.2,1.6
8,VJC,2023-02-08,2023-02-08,-26.1,3.9,-9.4,12.1,6.2,1.6
9,VJC,2023-02-09,2023-02-09,-24.6,3.6,-9.1,12.1,6.0,1.6
10,VJC,2023-02-10,2023-02-10,-24.6,3.7,-9.1,12.0,6.0,1.6
11,VJC,2023-02-13,2023-02-13,-24.9,3.7,-8.9,11.9,5.8,1.6
12,VJC,2023-02-14,2023-02-14,-24.8,3.7,-8.9,11.9,5.8,1.6
13,VJC,2023-02-15,2023-02-15,-24.8,3.7,-8.9,12.0,5.8,1.6
14,VJC,2023-02-16,2023-02-16,-24.8,3.7,-8.9,12.1,5.9,1.6
15,VJC,2023-02-17,2023-02-17,-24.8,3.7,-8.9,12.1,5.9,1.6
16,VJC,2023-02-20,2023-02-20,-24.8,3.7,-9.1,12.3,6.0,1.6
17,VJC,2023-02-21,2023-02-21,-24.7,3.7,-9.0,12.3,5.9,1.6
18,VJC,2023-02-22,2023-02-22,-24.3,3.6,-8.9,12.0,5.8,1.6
19,VJC,2023-02-23,2023-02-23,-23.7,3.5,-8.8,12.0,5.8,1.6
20,VJC,2023-02-24,2023-02-24,-23.2,3.4,-8.9,11.8,5.8,1.6
21,VJC,2023-02-27,2023-02-27,-23.8,3.5,-8.9,11.6,5.8,1.5
22,VJC,2023-02-28,2023-02-28,-24.1,3.6,-8.8,11.6,5.9,1.5
23,VJC,2023-03-01,2023-03-01,-24.5,3.6,-8.9,11.8,6.0,1.6
24,VJC,2023-03-02,2023-03-02,-24.5,3.6,-8.9,11.8,6.0,1.6
25,VJC,2023-03-03,2023-03-03,-24.4,3.6,-8.9,11.7,6.0,1.5
26,VJC,2023-03-06,2023-03-06,-23.2,3.4,-8.7,11.8,5.9,1.5
27,VJC,2023-03-07,2023-03-07,-23.4,3.5,-8.8,11.8,5.9,1.6
28,VJC,2023-03-08,2023-03-08,-23.7,3.5,-8.8,11.9,5.9,1.6
29,VJC,2023-03-09,2023-03-09,-24.6,3.6,-9.2,12.0,6.2,1.6
30,VJC,2023-03-10,2023-03-10,-24.3,3.6,-9.3,12.0,6.2,1.6
31,VJC,2023-03-13,2023-03-13,-24.3,3.6,-9.1,12.0,6.1,1.6
32,VJC,2023-03-14,2023-03-14,-24.5,3.6,-9.1,11.8,6.1,1.6
33,VJC,2023-03-15,2023-03-15,-25.3,3.8,-9.3,12.1,6.3,1.6
34,VJC,2023-03-16,2023-03-16,-24.6,3.7,-9.1,11.9,6.1,1.6
35,VJC,2023-03-17,2023-03-17,-26.3,3.9,-9.4,11.9,6.4,1.6
36,VJC,2023-03-20,2023-03-20,-25.5,3.8,-9.2,11.7,6.2,1.5
37,VJC,2023-03-21,2023-03-21,-25.1,3.7,-9.2,11.7,6.2,1.5
38,VJC,2023-03-22,2023-03-22,-25.3,3.8,-9.3,11.8,6.2,1.6
39,VJC,2023-03-23,2023-03-23,-25.5,3.8,-9.3,11.9,6.2,1.6
40,VJC,2023-03-24,2023-03-24,-25.6,3.8,-9.3,11.9,6.3,1.6
41,VJC,2023-03-27,2023-03-27,-25.7,3.8,-9.4,11.9,6.3,1.6
42,VJC,2023-03-28,2023-03-28,-25.7,3.8,-9.3,12.0,6.3,1.6
43,VJC,2023-03-29,2023-03-29,-25.6,3.8,-9.3,12.0,6.3,1.6
44,VJC,2023-03-30,2023-03-30,-25.7,3.8,-9.3,12.0,6.3,1.6
45,VJC,2023-03-31,2023-03-31,-25.4,3.8,-9.2,12.1,6.2,1.6
46,VJC,2023-04-03,2023-04-03,-25.5,3.7,-9.1,12.2,6.1,1.6
47,VJC,2023-04-04,2023-04-04,-25.3,3.7,-9.2,12.2,6.2,1.6
48,VJC,2023-04-05,2023-04-05,-25.6,3.8,-9.2,12.3,6.2,1.6
49,VJC,2023-04-06,2023-04-06,-25.4,3.7,-9.2,12.2,6.2,1.6
50,VJC,2023-04-07,2023-04-07,-25.6,3.8,-9.2,12.1,6.2,1.6
51,VJC,2023-04-10,2023-04-10,-25.4,3.7,-9.2,12.1,6.2,1.6
52,VJC,2023-04-11,2023-04-11,-25.4,3.7,-9.2,12.1,6.2,1.6
53,VJC,2023-04-12,2023-04-12,-24.8,3.6,-9.1,12.2,6.1,1.6
54,VJC,2023-04-13,2023-04-13,-24.7,3.6,-8.9,12.1,6.0,1.6
55,VJC,2023-04-14,2023-04-14,-24.5,3.6,-8.8,12.0,5.9,1.6
56,VJC,2023-04-17,2023-04-17,-24.7,3.6,-8.9,12.0,6.0,1.6
57,VJC,2023-04-18,2023-04-18,-24.6,3.6,-8.9,12.0,6.0,1.6
58,VJC,2023-04-19,2023-04-19,-24.9,3.7,-8.9,11.9,5.9,1.6
59,VJC,2023-04-20,2023-04-20,-24.7,3.6,-11.5,12.0,5.6,1.5
60,VJC,2023-04-21,2023-04-21,-24.2,3.6,-8.8,12.0,5.8,1.6
61,VJC,2023-04-24,2023-04-24,-24.2,3.6,-8.8,11.8,5.8,1.5
62,VJC,2023-04-25,2023-04-25,-23.8,3.5,-8.7,11.8,5.8,1.5
63,VJC,2023-04-26,2023-04-26,-23.6,3.5,-8.6,11.9,5.7,1.6
64,VJC,2023-04-27,2023-04-27,-23.6,3.5,-8.7,11.9,5.7,1.6
65,VJC,2023-04-28,2023-04-28,-24.1,3.5,-11.2,12.3,5.8,1.5
66,VJC,2023-05-04,2023-05-04,-23.7,3.5,-11.2,12.5,5.6,1.5
67,VJC,2023-05-05,2023-05-05,-23.8,3.5,-11.2,12.5,5.6,1.5
68,VJC,2023-05-08,2023-05-08,-23.9,3.5,-11.3,12.7,5.5,1.5
69,VJC,2023-05-09,2023-05-09,-23.7,3.5,-11.2,12.7,5.4,1.5
70,VJC,2023-05-10,2023-05-10,-24.0,3.5,-11.4,12.7,5.5,1.5
71,VJC,2023-05-11,2023-05-11,-24.0,3.5,-11.3,12.8,5.5,1.5
