,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,VNM,2023-01-27,2023-01-27,19.8,5.1,15.7,11.9,2.7,1.7
1,VNM,2023-01-30,2023-01-30,19.7,5.1,19.0,12.2,2.7,1.7
2,VNM,2023-01-31,2023-01-31,19.1,4.9,20.1,12.3,2.6,1.7
3,VNM,2023-02-01,2023-02-01,19.1,4.9,19.9,12.1,2.6,1.6
4,VNM,2023-02-02,2023-02-02,19.0,4.9,19.8,12.2,2.6,1.6
5,VNM,2023-02-03,2023-02-03,18.8,4.8,19.9,12.2,2.6,1.6
6,VNM,2023-02-06,2023-02-06,19.2,4.9,20.0,12.3,2.6,1.6
7,VNM,2023-02-07,2023-02-07,18.8,4.9,19.7,12.1,2.5,1.6
8,VNM,2023-02-08,2023-02-08,18.8,4.8,19.8,12.1,2.6,1.6
9,VNM,2023-02-09,2023-02-09,18.6,4.8,19.7,12.1,2.5,1.6
10,VNM,2023-02-10,2023-02-10,18.8,4.8,19.7,12.0,2.5,1.6
11,VNM,2023-02-13,2023-02-13,18.6,4.8,19.7,11.9,2.5,1.6
12,VNM,2023-02-14,2023-02-14,18.5,4.8,19.6,11.9,2.5,1.6
13,VNM,2023-02-15,2023-02-15,18.8,4.8,19.7,12.0,2.5,1.6
14,VNM,2023-02-16,2023-02-16,18.9,4.9,19.8,12.1,2.5,1.6
15,VNM,2023-02-17,2023-02-17,18.8,4.8,19.7,12.1,2.5,1.6
16,VNM,2023-02-20,2023-02-20,19.2,4.9,20.1,12.3,2.6,1.6
17,VNM,2023-02-21,2023-02-21,19.1,4.9,20.0,12.3,2.6,1.6
18,VNM,2023-02-22,2023-02-22,18.7,4.8,19.6,12.0,2.5,1.6
19,VNM,2023-02-23,2023-02-23,18.7,4.8,19.4,12.0,2.5,1.6
20,VNM,2023-02-24,2023-02-24,18.5,4.8,19.3,11.8,2.5,1.6
21,VNM,2023-02-27,2023-02-27,18.6,4.8,18.9,11.6,2.4,1.5
22,VNM,2023-02-28,2023-02-28,18.7,4.8,19.0,11.6,2.5,1.5
23,VNM,2023-03-01,2023-03-01,19.0,4.9,19.2,11.8,2.5,1.6
24,VNM,2023-03-02,2023-03-02,18.9,4.9,19.0,11.8,2.5,1.6
25,VNM,2023-03-03,2023-03-03,18.8,4.8,18.8,11.7,2.4,1.5
26,VNM,2023-03-06,2023-03-06,18.6,4.8,18.6,11.8,2.4,1.5
27,VNM,2023-03-07,2023-03-07,18.8,4.8,18.8,11.8,2.4,1.6
28,VNM,2023-03-08,2023-03-08,18.9,4.9,19.0,11.9,2.4,1.6
29,VNM,2023-03-09,2023-03-09,18.9,4.9,19.0,12.0,2.4,1.6
30,VNM,2023-03-10,2023-03-10,19.0,4.9,19.2,12.0,2.5,1.6
31,VNM,2023-03-13,2023-03-13,19.0,4.9,19.2,12.0,2.5,1.6
32,VNM,2023-03-14,2023-03-14,19.0,4.9,19.1,11.8,2.5,1.6
33,VNM,2023-03-15,2023-03-15,19.1,4.9,19.3,12.1,2.5,1.6
34,VNM,2023-03-16,2023-03-16,18.9,4.9,19.2,11.9,2.5,1.6
35,VNM,2023-03-17,2023-03-17,18.4,4.7,19.0,11.9,2.5,1.6
36,VNM,2023-03-20,2023-03-20,18.4,4.7,18.8,11.7,2.4,1.5
37,VNM,2023-03-21,2023-03-21,18.4,4.7,18.7,11.7,2.4,1.5
38,VNM,2023-03-22,2023-03-22,18.4,4.7,18.8,11.8,2.4,1.6
39,VNM,2023-03-23,2023-03-23,18.6,4.8,18.8,11.9,2.4,1.6
40,VNM,2023-03-24,2023-03-24,18.6,4.8,18.8,11.9,2.4,1.6
41,VNM,2023-03-27,2023-03-27,18.5,4.8,18.7,11.9,2.4,1.6
42,VNM,2023-03-28,2023-03-28,18.4,4.7,18.7,12.0,2.4,1.6
43,VNM,2023-03-29,2023-03-29,18.5,4.8,18.8,12.0,2.4,1.6
44,VNM,2023-03-30,2023-03-30,18.6,4.8,18.8,12.0,2.4,1.6
45,VNM,2023-03-31,2023-03-31,18.4,4.7,18.7,12.1,2.4,1.6
46,VNM,2023-04-03,2023-04-03,18.2,4.5,18.7,12.2,2.4,1.6
47,VNM,2023-04-04,2023-04-04,18.1,4.5,18.8,12.2,2.4,1.6
48,VNM,2023-04-05,2023-04-05,18.2,4.5,18.8,12.3,2.4,1.6
49,VNM,2023-04-06,2023-04-06,18.1,4.5,18.7,12.2,2.4,1.6
50,VNM,2023-04-07,2023-04-07,18.2,4.5,18.7,12.1,2.4,1.6
51,VNM,2023-04-10,2023-04-10,18.2,4.5,18.7,12.1,2.4,1.6
52,VNM,2023-04-11,2023-04-11,18.2,4.5,18.7,12.1,2.4,1.6
53,VNM,2023-04-12,2023-04-12,18.1,4.5,18.8,12.2,2.4,1.6
54,VNM,2023-04-13,2023-04-13,17.9,4.4,18.7,12.1,2.4,1.6
55,VNM,2023-04-14,2023-04-14,17.8,4.4,18.6,12.0,2.4,1.6
56,VNM,2023-04-17,2023-04-17,17.5,4.3,18.5,12.0,2.4,1.6
57,VNM,2023-04-18,2023-04-18,17.8,4.4,18.7,12.0,2.4,1.6
58,VNM,2023-04-19,2023-04-19,17.6,4.3,18.6,11.9,2.4,1.6
59,VNM,2023-04-20,2023-04-20,17.6,4.3,20.7,12.0,2.3,1.5
60,VNM,2023-04-21,2023-04-21,17.3,4.3,18.2,12.0,2.3,1.6
61,VNM,2023-04-24,2023-04-24,17.2,4.2,18.0,11.8,2.3,1.5
62,VNM,2023-04-25,2023-04-25,17.1,4.2,17.9,11.8,2.3,1.5
63,VNM,2023-04-26,2023-04-26,17.3,4.3,17.9,11.9,2.3,1.6
64,VNM,2023-04-27,2023-04-27,17.0,4.2,18.0,11.9,2.3,1.6
65,VNM,2023-04-28,2023-04-28,17.1,4.2,19.2,12.3,2.3,1.5
66,VNM,2023-05-04,2023-05-04,16.7,4.1,19.3,12.5,2.2,1.5
67,VNM,2023-05-05,2023-05-05,16.8,4.1,19.6,12.5,2.2,1.5
68,VNM,2023-05-08,2023-05-08,17.2,4.2,20.2,12.7,2.3,1.5
69,VNM,2023-05-09,2023-05-09,17.3,4.2,20.2,12.7,2.3,1.5
70,VNM,2023-05-10,2023-05-10,17.2,4.2,20.3,12.7,2.3,1.5
71,VNM,2023-05-11,2023-05-11,17.1,4.2,20.4,12.8,2.3,1.5
72,VNM,2023-05-12,2023-05-12,17.0,4.2,20.5,12.9,2.3,1.6
73,VNM,2023-05-15,2023-05-15,16.8,4.1,20.5,12.8,2.3,1.6
74,VNM,2023-05-16,2023-05-16,17.0,4.2,20.5,12.9,2.3,1.6
75,VNM,2023-05-17,2023-05-17,16.8,4.1,20.4,12.8,2.3,1.5
76,VNM,2023-05-18,2023-05-18,16.9,4.2,20.4,12.9,2.3,1.6
77,VNM,2023-05-19,2023-05-19,16.7,4.1,20.3,12.9,2.3,1.6
78,VNM,2023-05-22,2023-05-22,16.7,4.1,20.3,12.9,2.3,1.6
79,VNM,2023-05-23,2023-05-23,16.4,4.0,20.1,12.9,2.2,1.6
80,VNM,2023-05-24,2023-05-24,16.2,4.0,20.1,12.8,2.2,1.6
81,VNM,2023-05-25,2023-05-25,16.4,4.0,20.1,12.9,2.3,1.6
82,VNM,2023-05-26,2023-05-26,16.4,4.0,20.0,12.8,2.2,1.6
83,VNM,2023-05-29,2023-05-29,16.4,4.0,20.1,13.0,2.2,1.6
84,VNM,2023-05-30,2023-05-30,16.2,4.0,18.0,13.0,2.2,1.6
85,VNM,2023-05-31,2023-05-31,16.1,4.0,18.0,13.0,2.2,1.6
86,VNM,2023-06-01,2023-06-01,16.1,4.0,18.1,13.1,2.2,1.6
87,VNM,2023-06-02,2023-06-02,16.1,4.0,18.0,13.2,2.2,1.6
88,VNM,2023-06-05,2023-06-05,16.2,4.0,18.2,13.3,2.2,1.6
89,VNM,2023-06-06,2023-06-06,16.2,4.0,18.2,13.4,2.2,1.6
90,VNM,2023-06-07,2023-06-07,16.2,4.0,18.2,13.4,2.2,1.6
91,VNM,2023-06-08,2023-06-08,16.0,3.9,20.3,13.3,2.3,1.6
92,VNM,2023-06-09,2023-06-09,16.1,3.9,18.1,13.2,2.2,1.6
93,VNM,2023-06-12,2023-06-12,16.6,4.1,20.8,13.5,2.3,1.6
94,VNM,2023-06-13,2023-06-13,16.5,4.1,20.8,13.5,2.3,1.6
95,VNM,2023-06-14,2023-06-14,16.4,4.0,20.7,13.5,2.3,1.6
96,VNM,2023-06-15,2023-06-15,16.2,4.0,20.6,13.4,2.3,1.6
97,VNM,2023-06-16,2023-06-16,16.1,4.0,20.5,13.4,2.3,1.6
98,VNM,2023-06-19,2023-06-19,16.1,3.9,20.2,13.3,2.3,1.6
99,VNM,2023-06-20,2023-06-20,16.0,3.9,20.3,13.4,2.3,1.6
100,VNM,2023-06-21,2023-06-21,16.2,4.0,20.4,13.4,2.3,1.6
101,VNM,2023-06-22,2023-06-22,16.3,4.0,20.5,13.5,2.3,1.6
102,VNM,2023-06-23,2023-06-23,16.9,4.1,20.7,13.6,2.3,1.6
103,VNM,2023-06-26,2023-06-26,17.2,4.2,20.8,13.6,2.3,1.6
104,VNM,2023-06-27,2023-06-27,17.2,4.2,20.8,13.6,2.3,1.6
105,VNM,2023-06-28,2023-06-28,17.2,4.2,20.8,13.7,2.3,1.7
106,VNM,2023-06-29,2023-06-29,17.6,4.3,20.8,13.6,2.3,1.6
107,VNM,2023-06-30,2023-06-30,17.3,4.3,20.7,13.5,2.3,1.6
108,VNM,2023-07-03,2023-07-03,16.9,4.6,20.7,13.5,2.3,1.6
109,VNM,2023-07-04,2023-07-04,16.8,4.6,20.7,13.6,2.3,1.6
110,VNM,2023-07-05,2023-07-05,16.6,4.6,20.6,13.6,2.3,1.6
111,VNM,2023-07-06,2023-07-06,16.8,4.6,20.6,13.5,2.3,1.6
112,VNM,2023-07-07,2023-07-07,16.9,4.6,20.5,13.7,2.3,1.7
