,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,VPB,2023-01-27,2023-01-27,12.4,1.4,8.9,11.9,1.6,1.7
1,VPB,2023-01-30,2023-01-30,12.1,1.4,8.6,12.2,1.5,1.7
2,VPB,2023-01-31,2023-01-31,12.2,1.4,8.6,12.3,1.6,1.7
3,VPB,2023-02-01,2023-02-01,11.5,1.3,8.3,12.1,1.5,1.6
4,VPB,2023-02-02,2023-02-02,11.6,1.3,8.3,12.2,1.5,1.6
5,VPB,2023-02-03,2023-02-03,11.5,1.3,8.3,12.2,1.5,1.6
6,VPB,2023-02-06,2023-02-06,11.6,1.3,8.5,12.3,1.5,1.6
7,VPB,2023-02-07,2023-02-07,11.3,1.3,8.3,12.1,1.5,1.6
8,VPB,2023-02-08,2023-02-08,11.3,1.3,8.4,12.1,1.5,1.6
9,VPB,2023-02-09,2023-02-09,11.3,1.3,8.4,12.1,1.5,1.6
10,VPB,2023-02-10,2023-02-10,11.0,1.3,8.2,12.0,1.5,1.6
11,VPB,2023-02-13,2023-02-13,10.7,1.2,8.2,11.9,1.5,1.6
12,VPB,2023-02-14,2023-02-14,10.5,1.2,8.1,11.9,1.5,1.6
13,VPB,2023-02-15,2023-02-15,10.8,1.2,8.2,12.0,1.5,1.6
14,VPB,2023-02-16,2023-02-16,11.0,1.3,8.3,12.1,1.5,1.6
15,VPB,2023-02-17,2023-02-17,10.9,1.2,8.3,12.1,1.5,1.6
16,VPB,2023-02-20,2023-02-20,11.5,1.3,8.5,12.3,1.5,1.6
17,VPB,2023-02-21,2023-02-21,11.2,1.3,8.5,12.3,1.5,1.6
18,VPB,2023-02-22,2023-02-22,11.0,1.3,8.3,12.0,1.5,1.6
19,VPB,2023-02-23,2023-02-23,11.0,1.3,8.3,12.0,1.5,1.6
20,VPB,2023-02-24,2023-02-24,10.8,1.2,8.2,11.8,1.5,1.6
21,VPB,2023-02-27,2023-02-27,10.7,1.2,8.1,11.6,1.5,1.5
22,VPB,2023-02-28,2023-02-28,10.7,1.2,8.1,11.6,1.5,1.5
23,VPB,2023-03-01,2023-03-01,11.0,1.3,8.3,11.8,1.5,1.6
24,VPB,2023-03-02,2023-03-02,10.9,1.2,8.3,11.8,1.5,1.6
25,VPB,2023-03-03,2023-03-03,10.7,1.2,8.1,11.7,1.5,1.5
26,VPB,2023-03-06,2023-03-06,10.7,1.2,8.2,11.8,1.5,1.5
27,VPB,2023-03-07,2023-03-07,10.9,1.3,8.3,11.8,1.5,1.6
