,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,VRE,2023-01-27,2023-01-27,20.4,2.0,16.7,11.9,1.5,1.7
1,VRE,2023-01-30,2023-01-30,20.0,2.0,17.7,12.2,1.4,1.7
2,VRE,2023-01-31,2023-01-31,20.0,2.0,16.1,12.3,1.4,1.7
3,VRE,2023-02-01,2023-02-01,18.8,1.8,15.7,12.1,1.4,1.6
4,VRE,2023-02-02,2023-02-02,19.4,1.9,15.7,12.2,1.4,1.6
5,VRE,2023-02-03,2023-02-03,19.6,1.9,15.7,12.2,1.4,1.6
6,VRE,2023-02-06,2023-02-06,19.8,1.9,15.8,12.3,1.4,1.6
7,VRE,2023-02-07,2023-02-07,19.2,1.9,15.5,12.1,1.4,1.6
8,VRE,2023-02-08,2023-02-08,19.2,1.9,15.4,12.1,1.3,1.6
9,VRE,2023-02-09,2023-02-09,19.0,1.9,15.2,12.1,1.3,1.6
10,VRE,2023-02-10,2023-02-10,19.0,1.9,15.1,12.0,1.3,1.6
11,VRE,2023-02-13,2023-02-13,19.2,1.9,14.8,11.9,1.3,1.6
12,VRE,2023-02-14,2023-02-14,18.8,1.8,14.6,11.9,1.3,1.6
13,VRE,2023-02-15,2023-02-15,19.1,1.9,14.7,12.0,1.3,1.6
14,VRE,2023-02-16,2023-02-16,19.1,1.9,14.8,12.1,1.3,1.6
15,VRE,2023-02-17,2023-02-17,19.1,1.9,14.9,12.1,1.3,1.6
16,VRE,2023-02-20,2023-02-20,19.7,1.9,15.2,12.3,1.3,1.6
17,VRE,2023-02-21,2023-02-21,19.9,2.0,15.3,12.3,1.3,1.6
18,VRE,2023-02-22,2023-02-22,18.9,1.9,14.7,12.0,1.3,1.6
19,VRE,2023-02-23,2023-02-23,17.8,1.7,14.6,12.0,1.3,1.6
20,VRE,2023-02-24,2023-02-24,17.8,1.7,14.4,11.8,1.3,1.6
21,VRE,2023-02-27,2023-02-27,17.3,1.7,14.2,11.6,1.2,1.5
22,VRE,2023-02-28,2023-02-28,17.9,1.8,14.3,11.6,1.3,1.5
23,VRE,2023-03-01,2023-03-01,18.0,1.8,14.3,11.8,1.3,1.6
24,VRE,2023-03-02,2023-03-02,17.6,1.7,14.2,11.8,1.2,1.6
25,VRE,2023-03-03,2023-03-03,17.5,1.7,14.2,11.7,1.2,1.5
26,VRE,2023-03-06,2023-03-06,17.6,1.7,14.4,11.8,1.3,1.5
27,VRE,2023-03-07,2023-03-07,17.9,1.8,14.4,11.8,1.3,1.6
28,VRE,2023-03-08,2023-03-08,18.3,1.8,14.5,11.9,1.3,1.6
29,VRE,2023-03-09,2023-03-09,18.1,1.8,14.6,12.0,1.3,1.6
30,VRE,2023-03-10,2023-03-10,18.8,1.8,14.6,12.0,1.3,1.6
31,VRE,2023-03-13,2023-03-13,19.6,1.9,14.8,12.0,1.3,1.6
32,VRE,2023-03-14,2023-03-14,19.4,1.9,14.6,11.8,1.3,1.6
33,VRE,2023-03-15,2023-03-15,19.2,1.9,14.9,12.1,1.3,1.6
34,VRE,2023-03-16,2023-03-16,19.5,1.9,14.7,11.9,1.3,1.6
35,VRE,2023-03-17,2023-03-17,19.8,1.9,14.7,11.9,1.3,1.6
36,VRE,2023-03-20,2023-03-20,19.5,1.9,14.5,11.7,1.3,1.5
37,VRE,2023-03-21,2023-03-21,19.8,1.9,14.8,11.7,1.3,1.5
38,VRE,2023-03-22,2023-03-22,20.0,2.0,15.0,11.8,1.3,1.6
39,VRE,2023-03-23,2023-03-23,19.7,1.9,15.0,11.9,1.3,1.6
