,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,AAT,5180,-200,-0.037,-0.121,-0.075,10939402,AAT:  Giấy xác nhận thay đổi nội dung đăng ký doanh nghiệp,HOSE,2023-09-26 17:53:00
1,AAT,5600,200,0.037,0.041,-0.125,10910731,"AAT:  Nghị quyết, Biên bản họp và tài liệu họp ĐHĐCĐ bất thường lần 1 năm 2023",HOSE,2023-08-28 15:54:00
2,AAT,5600,200,0.037,0.041,-0.125,10910735,"AAT:  Nghị quyết HĐQT về việc ban hành điều lệ sửa đổi, bổ sung (kèm điều lệ)",HOSE,2023-08-28 15:51:00
3,AAT,5390,10,0.002,-0.133,-0.143,10906577,AAT:  Cập nhật tài liệu họp ĐHĐCĐ bất thường lần 1 năm 2023,HOSE,2023-08-23 16:19:00
4,AAT,6220,-110,-0.017,-0.036,0.026,10898473,AAT:  Giải trình chênh lệch LNST tại BCTC trước và sau soát xét bán niên 2023,HOSE,2023-08-16 13:26:00
5,AAT,6330,110,0.018,-0.011,0.045,10896711,AAT:  Thông báo thay đổi Giấy chứng nhận đăng ký doanh nghiệp lần thứ 19,HOSE,2023-08-15 10:22:00
6,AAT,6450,50,0.008,0.032,0.146,10890032,AAT:  Thông báo về việc giao dịch cổ phiếu thay đổi đăng ký niêm yết,HOSE,2023-08-09 09:03:00
7,AAT,6160,0,0.0,-0.03,0.09,10887428,AAT:  Tài liệu họp ĐHĐCĐ bất thường lần 1 năm 2023,HOSE,2023-08-07 11:04:00
8,AAT,6160,50,0.008,-0.038,0.037,10886154,AAT:  CBTT Thư mời họp ĐHĐCĐ bất thường năm 2023,HOSE,2023-08-04 14:55:00
9,AAT,6160,50,0.008,-0.038,0.037,10885337,AAT:  Quyết định về việc thay đổi đăng ký niêm yết,HOSE,2023-08-04 09:12:00
