,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,AAV,4000,-100,-0.024,0.081,-0.048,11053822,AAV: Báo cáo thay đổi sở hữu cổ phiếu của cổ đông lớn - Phạm Thanh Tùng,HNX,2024-01-19 09:38:00
1,AAV,3800,100,0.027,-0.05,-0.095,11049077,AAV: Báo cáo thay đổi sở hữu cổ phiếu của cổ đông lớn - Phạm Thanh Tùng,HNX,2024-01-15 17:11:00
2,AAV,4000,100,0.026,0.0,-0.07,11046180,AAV: Thông báo về việc chấm dứt hoạt động địa điểm kinh doanh tại Hà Nội,HNX,2024-01-11 16:52:00
3,AAV,4000,100,0.026,0.0,-0.07,11045955,AAV: Báo cáo thay đổi sở hữu cổ phiếu của cổ đông lớn - Phạm Thanh Tùng,HNX,2024-01-11 14:00:00
4,AAV,4200,-100,-0.023,0.0,-0.045,11028407,AAV: Nghị quyết Hội đồng quản trị,HNX,2023-12-22 14:30:00
5,AAV,3800,-100,-0.026,-0.116,-0.224,10972143,AAV: Báo cáo tài chính quý 3/2023 (công ty mẹ),HNX,2023-10-31 11:01:00
6,AAV,3800,-100,-0.026,-0.116,-0.224,10972146,AAV: Báo cáo tài chính quý 3/2023,HNX,2023-10-31 10:58:00
7,AAV,6200,0,0.0,0.069,-0.088,10919527,AAV: Phạm Đức Văn không còn là cổ đông lớn,HNX,2023-09-07 08:28:00
8,AAV,6300,500,0.086,0.086,-0.074,10917676,AAV: Thông báo bổ sung cổ phiếu vào danh sách chứng khoán không được ký quỹ,HNX,2023-09-05 16:54:00
9,AAV,5800,0,0.0,0.0,-0.194,10913422,AAV: Báo cáo tài chính bán niên năm 2023 (công ty mẹ),HNX,2023-08-30 11:28:00
