,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,ABC,13800,100,0.007,0.0,0.022,11005854,ABC: Ông Vũ Hoàng Việt báo cáo thay đổi sở hữu của nhóm cổ đông lớn,HNX,2023-11-28 16:37:00
1,ABC,14000,500,0.037,0.0,0.014,11003440,ABC: Thông báo chuyển nhượng quyền mua cổ phần tại Công ty CP Công nghệ và dịch vụ Imedia do Công ty Cổ phần truyền thông VMG nắm giữ,HNX,2023-11-24 16:21:00
2,ABC,14000,500,0.037,0.0,0.014,11003446,ABC: Nghị quyết hội đồng quản trị về việc không thông qua việc đăng ký mua cổ phần chào bán của CTCP Công nghệ và Dịch vụ Imedia,HNX,2023-11-24 16:15:00
3,ABC,14000,300,0.022,0.077,0.0,10987173,ABC: Ông Vũ Hoàng Việt báo cáo thay đổi sở hữu nhóm cổ đông lớn,HNX,2023-11-15 16:47:00
4,ABC,12700,-800,-0.059,-0.066,-0.093,10977123,ABC: Báo cáo tài chính quý 3/2023 (công ty mẹ),HNX,2023-11-03 17:24:00
5,ABC,12700,-800,-0.059,-0.066,-0.093,10977124,ABC: Báo cáo tài chính quý 3/2023,HNX,2023-11-03 17:24:00
6,ABC,13800,-300,-0.021,-0.014,-0.048,10965316,ABC: Thay đổi giấy đăng ký kinh doanh,HNX,2023-10-24 17:45:00
7,ABC,14200,-500,-0.034,0.0,-0.066,10942725,ABC: Thay đổi Người đại diện được ủy quyền của Công ty Cổ phần truyền thông VMG tại Công ty Cổ phần Công nghệ OCG,HNX,2023-09-29 16:45:00
8,ABC,15000,900,0.064,0.02,0.095,10930676,ABC: Thay đổi nhân sự,HNX,2023-09-18 15:11:00
9,ABC,15200,0,0.0,0.027,0.041,10913702,ABC: Báo cáo tài chính bán niên năm 2023 (công ty mẹ),HNX,2023-08-30 14:26:00
