,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,ABR,13900,150,0.011,0.0,-0.201,11008574,ABR:  Thông báo công văn của UBCKNN về hồ sơ thông báo tỷ lệ SHNN tối đa của ABR,HOSE,2023-12-01 10:04:00
1,ABR,16950,0,0.0,-0.02,0.304,10969879,ABR:  Thông báo thay đổi tỷ lệ sở hữu nước ngoài tối đa,HOSE,2023-10-27 13:13:00
2,ABR,16950,950,0.059,-0.02,0.246,10968320,ABR:  Công bố Điều lệ Công ty được sửa đổi,HOSE,2023-10-26 16:31:00
3,ABR,16950,950,0.059,-0.02,0.246,10968250,ABR:  Thông báo BBH và NQ ĐHĐCĐ bất thường năm 2023,HOSE,2023-10-26 16:30:00
4,ABR,16900,800,0.05,0.347,0.207,10958229,ABR:  Công bố điều chỉnh tài liệu sử dụng trong ĐHĐCĐ bất thường năm 2023,HOSE,2023-10-17 16:55:00
5,ABR,13800,50,0.004,-0.038,-0.048,10929481,ABR:  Tài liệu họp ĐHĐCĐ bất thường năm 2023,HOSE,2023-09-15 17:38:00
6,ABR,13750,-350,-0.025,-0.035,-0.052,10926226,ABR:  Thông báo về ngày ĐKCC tham dự ĐHĐCĐ bất thường năm 2023,HOSE,2023-09-13 10:19:00
7,ABR,14250,-200,-0.014,0.048,-0.069,10919333,ABR:  CBTT họp ĐHĐCĐ bất thường năm 2023,HOSE,2023-09-06 16:29:00
8,ABR,13650,50,0.004,0.015,0.079,10915512,"ABR:  Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Tsai, Hsiu-Li",HOSE,2023-08-31 14:44:00
9,ABR,13650,50,0.004,0.015,0.079,10915513,ABR:  Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Công ty TNHH Phát triển Hưng Thái,HOSE,2023-08-31 14:43:00
