,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,ACB,25800,550,0.022,0.014,0.147,11047766,ACB:  Nghị quyết HĐQT về việc bổ nhiệm lại Phó Tổng Giám đốc,HOSE,2024-01-12 17:16:00
1,ACB,25250,250,0.01,0.01,0.127,11044951,Đính chính báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền ACB/VIETCAP/M/Au/T/A3,HOSE,2024-01-10 17:06:00
2,ACB,24450,550,0.023,0.052,0.096,11036773,ACB:  Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan CTCP Thực Phẩm Nhật Huy,HOSE,2024-01-02 14:53:00
3,ACB,23900,150,0.006,0.03,0.084,11035445,ACB:  CBTT Nghị quyết HĐQT về việc cấp tín dụng,HOSE,2023-12-29 17:34:00
4,ACB,23750,450,0.019,0.022,0.084,11033826,ACB:  Thông báo thay đổi nhân sự - Bổ nhiệm lại Giám đốc Tài chính,HOSE,2023-12-28 16:31:00
5,ACB,23200,-50,-0.002,0.02,0.022,11028626,ACB:  Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ CTCP Thực phẩm Nhật Huy,HOSE,2023-12-22 17:06:00
6,ACB,23200,150,0.007,0.04,0.031,11026267,Báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền ACB/VIETCAP/M/Au/T/A3,HOSE,2023-12-20 17:29:00
7,ACB,22500,100,0.004,0.016,0.002,11018574,Giấy chứng nhận chào bán chứng quyền có bảo đảm Chứng quyền ACB/VIETCAP/M/Au/T/A3,HOSE,2023-12-12 17:00:00
8,ACB,22050,-150,-0.007,-0.029,0.007,11003551,Báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền.ACB.VND.M.CA.T.2023.2,HOSE,2023-11-24 17:24:00
9,ACB,22050,-150,-0.007,-0.029,0.007,11003552,Báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền.ACB.VND.M.CA.T.2023.1,HOSE,2023-11-24 17:23:00
