,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,AGR,16600,100,0.006,0.003,0.057,11050429,"Agriseco báo lãi đi ngang, dư nợ cho vay tăng 41% trong năm 2023",Fili,2024-01-17 08:54:00
1,AGR,16500,300,0.019,-0.021,0.051,11050204,AGR:  Giải trình chênh lệch LNST Q4/2023 so với cùng kỳ năm trước,HOSE,2024-01-16 16:11:00
2,AGR,16200,-400,-0.024,-0.047,0.019,11048977,AGR:  CBTT nhận được Quyết định của HNX về việc chấp thuận kết nối giao dịch,HOSE,2024-01-15 16:24:00
3,AGR,16800,250,0.015,0.031,0.047,11046057,AGR:  CBTT nhận được Quyết định của VNX về việc chấp thuận thành viên giao dịch TPRL,HOSE,2024-01-11 14:54:00
4,AGR,16050,-50,-0.003,0.013,0.026,11027421,AGR:  Nghị quyết HĐQT về thời điểm chuyển địa điểm Trụ sở chính của Agriseco,HOSE,2023-12-21 17:23:00
5,AGR,15800,-150,-0.009,-0.06,0.068,11019701,AGR:  CBTT Trích lục Nghị quyết HĐQT về điều chỉnh KHKD năm 2023,HOSE,2023-12-13 15:12:00
6,AGR,15800,-150,-0.009,-0.06,0.068,11019654,"Một công ty chứng khoán bất ngờ hạ kế hoạch năm 2023 vào ""phút chót""",CafeF,2023-12-13 15:04:00
7,AGR,16650,1000,0.064,0.099,0.215,11009992,AGR:  CBTT Quyết định HĐQT bổ nhiệm lại GĐ CN Miền Bắc,HOSE,2023-12-04 09:25:00
8,AGR,16650,1000,0.064,0.099,0.215,11009993,AGR:  Thông báo thay đổi nhân sự,HOSE,2023-12-04 09:25:00
9,AGR,15400,-200,-0.013,0.041,0.232,11007830,AGR:  Thông báo thay đổi giấy chứng nhận ĐKDN lần thứ 10,HOSE,2023-11-30 14:43:00
