,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,APG,12200,100,0.008,0.038,0.196,11042313,APG:  Thông báo thay đổi người có liên quan của người nội bộ,HOSE,2024-01-08 15:14:00
1,APG,12200,100,0.008,0.038,0.196,11042316,APG:  Tài liệu lấy ý kiến cổ đông bằng văn bản,HOSE,2024-01-08 15:13:00
2,APG,12150,-100,-0.008,0.07,0.245,11035569,APG:  Thông báo đơn xin từ nhiệm của Phó TGĐ,HOSE,2023-12-29 18:22:00
3,APG,12150,-100,-0.008,0.07,0.245,11035583,APG:  Nghị quyết HĐQT về việc miễn nhiệm chức danh Phó Tổng Giám đốc,HOSE,2023-12-29 18:21:00
4,APG,12050,-150,-0.012,0.076,0.242,11032110,APG:  Thông báo thay đổi người có liên quan của người nội bộ,HOSE,2023-12-27 11:19:00
5,APG,12200,350,0.03,0.135,0.258,11031202,APG:  Thông báo thay đổi nhân sự,HOSE,2023-12-26 16:04:00
6,APG,12200,350,0.03,0.135,0.258,11031191,APG:  Thông báo thay đổi người có liên quan của người nội bộ,HOSE,2023-12-26 16:02:00
7,APG,12200,350,0.03,0.135,0.258,11031106,APG:  CBTT Nghị quyết HĐQT về việc thay đổi nhân sự,HOSE,2023-12-26 14:31:00
8,APG,11350,-150,-0.013,0.066,0.135,11028691,APG:  Thông báo về ngày ĐKCC lấy ý kiến cổ đông bằng văn bản,HOSE,2023-12-22 18:15:00
9,APG,11500,300,0.027,0.075,0.151,11027429,APG:  Thông báo nhận được đơn từ nhiệm Trưởng ban KTNB,HOSE,2023-12-21 17:51:00
