,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,BCM,61500.0,-400.0,-0.006,-0.018,0.039,11038228,"BCM:  Nghị quyết HĐQT về việc phê duyệt mức giá trị của các hợp đồng, giao dịch với các công ty thành viên",HOSE,2024-01-03 15:43:00
1,BCM,,,,,,11035697,"Becamex (BCM) hút thêm hơn 400 tỷ đồng trái phiếu, lãi suất 12,5%/năm",NSTT,2023-12-30 15:33:00
2,BCM,62300.0,400.0,0.006,0.021,0.065,11031287,BCM:  Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Nguyễn Văn Hùng,HOSE,2023-12-26 17:08:00
3,BCM,61800.0,500.0,0.008,-0.03,0.041,11027154,BCM:  CBTT về việc thay đổi địa chỉ trụ sở chi nhánh,HOSE,2023-12-21 14:38:00
4,BCM,63700.0,-200.0,-0.003,-0.017,0.076,11020786,"Becamex dồn dập huy động vốn, hơn 4.500 tỷ đồng sắp về tay",VietNam Finance,2023-12-14 14:40:00
5,BCM,63700.0,-200.0,-0.003,-0.017,0.076,11020488,BCM:  CBTT Nghị quyết HĐQT thông qua phát hành riêng lẻ 1.300 tỷ đồng TPDN,HOSE,2023-12-14 10:36:00
6,BCM,65100.0,100.0,0.002,0.1,0.104,11017432,BCM:  Nghị quyết HĐQT về việc đề nghị cấp tín dụng tại MSB,HOSE,2023-12-11 16:48:00
7,BCM,64800.0,-1200.0,-0.018,0.113,0.129,11014433,“Gã khổng lồ” CapitaLand chính thức “thâu tóm” dự án bất động sản tại Bình Dương từ tay Becamex,CafeF,2023-12-07 14:35:00
8,BCM,63300.0,4100.0,0.069,0.082,0.08,11010828,"Becamex IDC (BCM) được phép chuyển nhượng dự án cho Capital Land, chuẩn bị hạch toán hơn 2.000 tỷ đồng lợi nhuận",DTCK,2023-12-05 08:15:00
9,BCM,58499.0,493.0,0.008,-0.034,0.005,11004549,BCM:  Thông báo kết quả giao dịch cổ phiếu của người nội bộ Nguyễn Văn Hùng,HOSE,2023-11-27 13:46:00
