,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,FPT,96300,700,0.007,0.017,0.018,11053296,"FPT: Lợi nhuận trước thuế 2023 tăng gần 20% lên 9.200 tỷ, dịch vụ CNTT nước ngoài cán mốc 1 tỷ đô doanh thu",CafeF,2024-01-19 07:27:00
1,FPT,94700,-300,-0.003,-0.028,-0.022,11047323,"Sau 20 năm 'dấn thân', FPT đặt mục tiêu 1 tỷ USD doanh thu từ phần mềm cho ô tô",NSTT,2024-01-12 13:48:00
2,FPT,95000,300,0.003,-0.023,0.0,11047669,"Sau cột mốc 1 tỷ USD từ thị trường nước ngoài, FPT đặt đích 5 tỷ USD",VNE,2024-01-11 20:11:00
3,FPT,95000,300,0.003,-0.023,0.0,11045230,"FPT chính thức ""lấn sân"" sang thị trường viễn thông di động Việt Nam",Vietnamplus,2024-01-11 09:10:00
4,FPT,97200,900,0.009,0.006,0.038,11039602,FPT:  Thông báo giao dịch cổ phiếu của người nội bộ Nguyễn Việt Thắng,HOSE,2024-01-04 16:54:00
5,FPT,94600,-500,-0.005,-0.017,0.017,11028681,FPT cán mốc 1 tỷ USD từ thị trường nước ngoài,DTCK,2023-12-22 18:00:00
6,FPT,94600,-500,-0.005,-0.017,0.017,11028196,"Ông Hoàng Nam Tiến khoe FPT Software chính thức cán mốc 1 tỷ USD doanh thu,  Fsoft Japan lọt top 30 công ty IT lớn nhất Nhật Bản",CafeF,2023-12-22 13:32:00
7,FPT,94000,-2200,-0.023,-0.011,0.036,11022790,FPT ký kết hợp tác với hai doanh nghiệp Nhật Bản,DTCK,2023-12-18 07:10:00
8,FPT,96200,0,0.0,0.021,0.041,11022533,Báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền FPT/VPBANKS/C/EU/7M/CASH/23-01,HOSE,2023-12-15 17:31:00
9,FPT,96200,0,0.0,0.021,0.041,11021723,"FPT báo lãi sau thuế 11 tháng tăng trưởng 19%, thu về gần 1 tỷ USD từ nước ngoài",NSTT,2023-12-15 09:41:00
