,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,GAS,75100,-900,-0.012,-0.027,-0.04,11047810,GAS:  Nhắc nhở chậm CBTT Nghị quyết /quyết định HĐQT,HOSE,2024-01-12 17:55:00
1,GAS,76800,-400,-0.005,0.016,-0.01,11042489,"GAS:  Nghị quyết HĐQT số 10, 101, 102 ngày 31/12/2023",HOSE,2024-01-08 17:07:00
2,GAS,76000,400,0.005,-0.004,-0.038,11037813,GAS:  Quyết định của HĐQT về việc thôi giữ chức vụ Phó Tổng Giám đốc của ông Phạm Đăng Nam,HOSE,2024-01-03 11:05:00
3,GAS,75500,-500,-0.007,-0.036,-0.036,11023892,GAS:  Nghị quyết HĐQT về việc thay đổi lãi suất tham chiếu LIBOR,HOSE,2023-12-18 15:06:00
4,GAS,76000,-900,-0.012,-0.021,-0.051,11022449,GAS:  Thông báo thay đổi giấy chứng nhận ĐKDN lần thứ 20,HOSE,2023-12-15 16:43:00
5,GAS,77800,800,0.01,-0.015,0.016,11006660,GAS:  Thông báo thay đổi nhân sự người được ủy quyền CBTT,HOSE,2023-11-29 14:42:00
6,GAS,79000,0,0.0,-0.014,-0.02,11002450,GAS:  Thông báo thay đổi nhân sự,HOSE,2023-11-22 14:12:00
7,GAS,79000,700,0.009,-0.001,-0.02,10991880,GAS:  Thông báo thay đổi nhân sự,HOSE,2023-11-21 16:50:00
8,GAS,80000,-100,-0.001,0.0,-0.079,10987585,"Vốn hóa của PV Gas vượt Vingroup, Vinhomes để vươn lên đứng thứ 3 trên sàn chứng khoán, chuẩn bị niêm yết bổ sung hơn 383 triệu cổ phiếu",NSTT,2023-11-16 08:35:00
9,GAS,78700,-1300,-0.016,-0.005,-0.089,10983791,"GAS: 20/11 giao dịch bổ sung 382,8 triệu cổ phiếu phát hành thêm",HOSE,2023-11-10 17:49:00
