,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,HDB,20550,0,0.0,0.033,0.096,11043740,HDB:  CBTT các Quyết định của HĐQT về việc thành lập và thay đổi địa điểm chi nhánh Hà Giang,HOSE,2024-01-09 17:01:00
1,HDB,20500,100,0.005,0.01,0.111,11041006,"HDB:  Quyết định của HĐQT về việc thay đổi, bổ sung điều kiện tín dụng cho Công ty tài chính TNHH HDSaiSon",HOSE,2024-01-05 17:18:00
2,HDB,20500,100,0.005,0.01,0.111,11040989,HDB:  Thông báo thay đổi địa điểm phòng giao dịch Đinh Bộ Lĩnh,HOSE,2024-01-05 17:16:00
3,HDB,20500,100,0.005,0.01,0.111,11041011,HDB:  Thông báo thay đổi địa điểm phòng giao dịch Ninh Sơn,HOSE,2024-01-05 17:08:00
4,HDB,20000,100,0.005,0.036,0.081,11038382,"HDBank hoàn thành thoái vốn ngoài ngành, hiện thực hóa lợi nhuận từ khoản đầu tư vào hàng không",DTCK,2024-01-03 17:41:00
5,HDB,19200,50,0.003,0.013,0.061,11030843,HDB:  Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Phạm Quốc Thanh,HOSE,2023-12-26 10:51:00
6,HDB,18950,200,0.011,-0.003,0.019,11028518,"HDB:  CBTT Nghị quyết HĐQT về việc thay đổi chi nhánh quản lý, tên gọi, địa điểm PGD Lương Định Của",HOSE,2023-12-22 15:46:00
7,HDB,18950,200,0.011,-0.003,0.019,11028528,HDB:  CBTT Quyết định HĐQT về việc cấp tín dụng cho Công ty TNHH Đại học Fullbright,HOSE,2023-12-22 15:45:00
8,HDB,18750,-50,-0.003,-0.008,0.003,11027337,HDB:  Thông báo thay đổi địa điểm PGD Đoan Hùng,HOSE,2023-12-21 15:43:00
9,HDB,18800,-150,-0.008,-0.003,0.005,11026206,HDB:  Quyết định của HĐQT về việc lựa chọn đơn vị kiểm toán BCTC năm 2024,HOSE,2023-12-20 17:20:00
