,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,MBB,22050,350,0.016,0.033,0.215,11054943,"MBB:  Thông báo đề cử nhân sự dự kiến bầu TV HĐQT, BKS nhiệm kỳ 2024-2029",HOSE,2024-01-19 17:44:00
1,MBB,21500,0,0.0,0.029,0.194,11051445,MBB:  Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Công đoàn cơ sở MBB,HOSE,2024-01-17 16:26:00
2,MBB,21450,100,0.005,0.036,0.188,11049005,MBB:  Thông báo thay đổi tên và địa điểm PGD Đức Thọ,HOSE,2024-01-15 16:35:00
3,MBB,21450,100,0.005,0.036,0.188,11048998,MBB:  Thông báo thay đổi địa điểm CN Ninh Bình,HOSE,2024-01-15 16:34:00
4,MBB,21350,700,0.034,0.041,0.17,11047631,MBB:  Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ SCIC,HOSE,2024-01-12 16:38:00
5,MBB,21350,700,0.034,0.041,0.17,11047671,MBB: SCIC đăng ký bán 3 triệu cổ phiếu,HOSE,2024-01-12 16:38:00
6,MBB,21350,700,0.034,0.041,0.17,11046979,"MBB:  Thông báo ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2024 và đề cử tham gia HĐQT, BKS nhiệm kỳ 2024-2029",HOSE,2024-01-12 09:51:00
7,MBB,20900,50,0.002,0.091,0.152,11044949,Đính chính báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền MBB/VIETCAP/M/Au/T/A5,HOSE,2024-01-10 17:02:00
8,MBB,20700,200,0.01,0.098,0.137,11041999,MBB:  CBTT ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2024,HOSE,2024-01-08 11:06:00
9,MBB,19150,300,0.016,0.041,0.061,11038392,MBB:  Thông báo giao dịch cổ phiếu của tổ chức có liên quan Công đoàn,HOSE,2024-01-03 17:59:00
