,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,MFS,24800,100,0.004,-0.012,-0.068,11023330,MFS: Thay đổi nhân sự,HNX,2023-12-18 10:37:00
1,MFS,26900,300,0.011,0.027,0.059,10991828,MFS: Báo cáo thay đổi sở hữu cổ phiếu của cổ đông lớn - Nguyễn Duy Hưng,HNX,2023-11-21 16:42:00
2,MFS,26600,300,0.011,0.086,0.023,10980478,MFS: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt,HNX,2023-11-08 13:51:00
3,MFS,26300,0,0.0,0.073,0.012,10979354,"Kết quả kinh doanh “đi lùi”, Dịch vụ Kỹ thuật Mobifone (MFS) vẫn chia cổ tức cao nhất trong 5 năm",DTCK,2023-11-07 14:06:00
4,MFS,26300,600,0.023,0.056,0.012,10978308,MFS: Quyết định HĐQT phê duyệt phương án cổ tức năm 2022 bằng tiền,HNX,2023-11-06 14:23:00
5,MFS,25500,100,0.004,-0.008,0.024,10965112,MFS: Thay đổi nhân sự,HNX,2023-10-24 15:08:00
6,MFS,27000,0,0.0,0.004,0.063,10881289,MFS: Báo cáo thay đổi sở hữu cổ phiếu của cổ đông lớn - Nguyễn Duy Hưng,HNX,2023-08-01 14:04:00
7,MFS,26900,-100,-0.004,0.011,0.043,10875253,MFS: Báo cáo quản trị công ty bán niên 2023,HNX,2023-07-24 15:07:00
8,MFS,25500,0,0.0,-0.012,0.0,10830983,MFS: Nghị quyết Đại hội đồng cổ đông thường niên năm 2023,HNX,2023-06-30 14:45:00
9,MFS,25500,100,0.004,-0.012,0.0,10829690,MFS: Thay đổi nhân sự,HNX,2023-06-29 16:48:00
