,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,MWG,45850,950,0.021,0.08,0.158,11052795,MWG:  CBTT Nghị quyết HĐQT thông qua thực hiện kế hoạch huy động vốn và giao dịch với bên có liên quan,HOSE,2024-01-18 16:01:00
1,MWG,45850,950,0.021,0.08,0.158,11052389,Bách Hóa Xanh sẽ chào bán riêng lẻ tối đa 10% cổ phần ngay trong nửa đầu năm 2024,CafeF,2024-01-18 12:50:00
2,MWG,42250,-450,-0.011,-0.022,-0.006,11044990,MWG:  Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Nguyễn Đức Tài,HOSE,2024-01-10 17:07:00
3,MWG,43050,200,0.005,0.009,0.133,11033689,"Phát động cuộc chiến giá siêu rẻ, Thế giới di động nhận về cái kết 'gậy ông đập lưng ông'?",VNE,2023-12-28 14:41:00
4,MWG,42650,300,0.007,0.077,0.122,11029592,"Đóng loạt cửa hàng, doanh thu Thế Giới Di Động sụt giảm sau khi vừa tăng trưởng mạnh trong tháng 10",CafeF,2023-12-25 11:15:00
5,MWG,42500,0,0.0,0.063,0.063,11018009,"Thế giới Di động đóng cửa 200 điểm bán hàng trước Tết, các cửa hàng  tại Indonesia có bị ảnh hưởng?",NSTT,2023-12-12 09:59:00
6,MWG,40850,-100,-0.002,0.061,0.069,11014768,MWG:  Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Nguyễn Đức Tài,HOSE,2023-12-07 17:45:00
7,MWG,40850,-100,-0.002,0.061,0.069,11014771,MWG: Ông Nguyễn Đức Tài - Chủ tịch HĐQT đăng ký mua nửa triệu cổ phiếu,HOSE,2023-12-07 17:43:00
8,MWG,39950,1200,0.031,0.051,0.05,11010595,"Lên kế hoạch đóng 200 cửa hàng, Thế Giới Di Động (MWG) có động thái mới với Viettel",CafeF,2023-12-04 15:07:00
9,MWG,38800,800,0.021,-0.025,-0.042,11006805,MWG:  Báo cáo kết quả giao dịch mua lại cổ phiếu quỹ,HOSE,2023-11-29 16:48:00
