,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,PAI,9700.0,0.0,0.0,0.0,0.0,11052800,PAI: Báo cáo quản trị công ty năm 2023,HNX,2024-01-18 15:55:00
1,PAI,9700.0,0.0,0.0,0.0,0.0,11053242,PAI: Báo cáo quản trị công ty năm 2023,HNX,2024-01-18 15:55:00
2,PAI,7400.0,0.0,0.0,0.0,-0.063,10969819,PAI: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt,HNX,2023-10-27 18:07:00
3,PAI,7400.0,0.0,0.0,0.072,-0.221,10964264,PAI: Thông báo ngày đăng ký cuối cùng dự kiến để trả cổ tức năm 2022 bằng tiền,HNX,2023-10-23 23:55:00
4,PAI,7400.0,0.0,0.0,0.072,-0.221,10963763,PAI: Thay đổi nhân sự,HNX,2023-10-23 11:36:00
5,PAI,7400.0,0.0,0.0,-0.063,-0.267,10960882,PAI: Nghị quyết Hội đồng quản trị về việc chi trả cổ tức năm 2022 bằng tiền,HNX,2023-10-19 15:58:00
6,PAI,,,,,,10879703,PAI: Báo cáo quản trị công ty bán niên 2023,HNX,2023-07-30 23:45:00
7,PAI,8900.0,0.0,0.0,-0.152,-0.082,10830478,PAI: Ký hợp đồng kiểm toán báo cáo tài chính năm 2023,HNX,2023-06-30 09:47:00
8,PAI,11200.0,0.0,0.0,0.0,0.0,10772563,PAI: Nghị quyết Đại hội đồng cổ đông thường niên năm 2023,HNX,2023-05-05 08:44:00
9,PAI,11200.0,0.0,0.0,0.0,0.0,10759743,PAI: Bổ sung tài liệu họp Đại hội đồng cổ đông thường niên 2023,HNX,2023-04-20 22:35:00
