,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,POW,11450,-200,-0.017,0.013,-0.013,11047139,"PV Power (POW): Lãi sau thuế 2023 ước đạt 1.194,1 tỷ đồng, vượt 34% kế hoạch năm",DTCK,2024-01-12 10:49:00
1,POW,11250,100,0.009,-0.004,-0.004,11033397,"POW, NT2 bị điểm tên trong các sai phạm liên quan đến Quy hoạch điện VII",VNE,2023-12-28 13:12:00
2,POW,11200,-100,-0.009,-0.039,-0.047,11022202,Fitch Ratings nâng xếp hạng tín nhiệm quốc tế của PV Power (POW),DTCK,2023-12-15 11:24:00
3,POW,11600,-50,-0.004,0.004,-0.025,11017233,"PV Power (POW) đạt 27.431 tỷ đồng doanh thu 11 tháng, hoàn thành 90% kế hoạch năm",DTCK,2023-12-11 14:25:00
4,POW,11300,0,0.0,-0.034,0.041,11005722,POW:  Thông báo thay đổi nhân sự công ty,HOSE,2023-11-28 14:32:00
5,POW,11400,-50,-0.004,-0.021,0.018,11003562,Báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền.POW.VND.M.CA.T.2023.4,HOSE,2023-11-24 17:15:00
6,POW,11650,-50,-0.004,-0.009,0.054,11002552,Thông báo nhận được công văn của UBCKNN về việc dừng chào bán chứng quyền có bảo đảm Chứng quyền.POW.VND.M.CA.T.2023.4,HOSE,2023-11-22 15:41:00
7,POW,11700,50,0.004,-0.013,0.059,10991489,Thông báo điều chỉnh thời gian chào bán chứng quyền có bảo đảm Chứng quyền.POW.VND.M.CA.T.2023.4,HOSE,2023-11-21 12:12:00
8,POW,11700,50,0.004,-0.013,0.059,10991359,Thông báo phát hành và bản cáo bạch chào bán chứng quyền có bảo đảm Chứng quyền.POW.VND.M.CA.T.2023.4,HOSE,2023-11-21 10:33:00
9,POW,11650,0,0.0,-0.021,0.04,10990828,Giấy chứng nhận chào bán chứng quyền có bảo đảm Chứng quyền.POW.VND.M.CA.T.2023.4,HOSE,2023-11-20 17:41:00
