,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,SAB,60400,0,0.0,-0.019,0.006,11050274,SAB:  HĐQT thông qua giao dịch với SATRACO,HOSE,2024-01-16 17:04:00
1,SAB,60732,98,0.002,0.003,-0.042,11033891,SAB:  Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 13,HOSE,2023-12-28 17:18:00
2,SAB,60634,-586,-0.01,0.002,-0.034,11031387,"Đại gia Thái Thaibev “ngậm ngùi” khi nhu cầu uống bia giảm mạnh, lợi nhuận mảng bia giảm đến 38%",NSTT,2023-12-27 08:27:00
3,SAB,63954,-98,-0.002,0.012,0.069,11017475,SAB:  Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 12,HOSE,2023-12-11 17:05:00
4,SAB,64052,0,0.0,0.009,0.008,11016166,SAB:  Thông báo ngày ĐKCC tạm ứng cổ tức năm 2023 bằng tiền,HOSE,2023-12-08 18:02:00
5,SAB,63661,1171,0.019,-0.015,-0.015,11013130,Cổ đông Sabeco sắp nhận gần 2.000 tỷ vào ngày 28 Tết,CafeF,2023-12-06 16:33:00
6,SAB,63661,1171,0.019,-0.015,-0.015,11013083,SAB:  CBTT về việc tạm ứng cổ tức năm 2023 bằng tiền,HOSE,2023-12-06 15:18:00
7,SAB,64638,1270,0.02,0.043,0.089,11006790,SAB:  CBTT Nghị quyết HĐQT về việc đăng ký tăng vốn điều lệ,HOSE,2023-11-29 17:01:00
8,SAB,59365,-2246,-0.036,-0.103,-0.167,10970624,"Nỗ lực vượt khó, Sabeco (SAB) tiếp tục duy trì lãi hơn 1.074 tỷ đồng trong quý III/2023",DTCK,2023-10-30 11:12:00
9,SAB,61611,-3027,-0.047,-0.099,-0.148,10969836,SAB:  Thông báo thay đổi nhân sự - Người phụ trách quản trị công ty,HOSE,2023-10-27 17:12:00
