,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,SHB,12150,100,0.008,-0.012,0.136,11054951,SHB:  CBTT Nghị quyết HĐQT thông qua cấp HM bảo lãnh cho KHDN,HOSE,2024-01-19 17:33:00
1,SHB,12150,100,0.008,-0.012,0.136,11054952,SHB:  Thông báo giao dịch quyền mua cổ phiếu ESOP của người nội bộ Đỗ Đức Hải,HOSE,2024-01-19 17:33:00
2,SHB,12150,100,0.008,-0.012,0.136,11054861,SHB:  Thông báo giao dịch quyền mua cổ phiếu ESOP của người nội bộ Đỗ Quang Hiển,HOSE,2024-01-19 17:32:00
3,SHB,12150,100,0.008,-0.012,0.136,11054862,SHB:  Thông báo giao dịch quyền mua cổ phiếu ESOP của người nội bộ Hoàng Thị Mai Thảo,HOSE,2024-01-19 17:31:00
4,SHB,12150,100,0.008,-0.012,0.136,11054863,SHB:  Thông báo giao dịch quyền mua cổ phiếu ESOP của người nội bộ Đỗ Quang Vinh,HOSE,2024-01-19 17:30:00
5,SHB,12150,100,0.008,-0.012,0.136,11054865,SHB:  Thông báo giao dịch quyền mua cổ phiếu ESOP của người nội bộ Lưu Danh Đức,HOSE,2024-01-19 17:28:00
6,SHB,12150,100,0.008,-0.012,0.136,11054866,SHB:  Thông báo giao dịch quyền mua cổ phiếu ESOP của người nội bộ Ngô Thị Vân,HOSE,2024-01-19 17:27:00
7,SHB,12150,100,0.008,-0.012,0.136,11054867,SHB:  Thông báo giao dịch quyền mua cổ phiếu ESOP của người nội bộ Ngô Thu Hà,HOSE,2024-01-19 17:26:00
8,SHB,12150,100,0.008,-0.012,0.136,11054868,SHB:  Thông báo giao dịch quyền mua cổ phiếu ESOP của người nội bộ Ninh Thị Lan Phương,HOSE,2024-01-19 17:25:00
9,SHB,12150,100,0.008,-0.012,0.136,11054871,SHB:  Thông báo giao dịch quyền mua cổ phiếu ESOP của người nội bộ Phạm Bích Liên,HOSE,2024-01-19 17:23:00
