,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,STB,29450,250,0.009,0.033,0.057,11044924,Đính chính báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền STB/VIETCAP/M/Au/T/A5,HOSE,2024-01-10 17:01:00
1,STB,29300,700,0.024,0.048,0.054,11040425,Báo cáo kết quả phân phối chứng quyền có bảo đảm điều chỉnh Chứng quyền STB/VPBANKS/C/EU/6M/CASH/23-01,HOSE,2024-01-05 10:52:00
2,STB,27950,350,0.013,0.028,0.005,11035562,"STB:  Nghị quyết HĐQT về việc thay đổi tên gọi, địa điểm và chi nhánh quản lý phòng giao dịch Lý Nam Đế",HOSE,2023-12-29 18:13:00
3,STB,27200,600,0.023,0.004,-0.065,11027972,Sacombank (STB) ước đạt 9.500 tỷ đồng lợi nhuận trước thuế năm 2023,DTCK,2023-12-22 10:15:00
4,STB,26950,350,0.013,-0.018,-0.077,11026258,Báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền STB/VIETCAP/M/Au/T/A5,HOSE,2023-12-20 17:34:00
5,STB,26600,300,0.011,-0.05,-0.089,11024504,Việc Sacombank trích lập 3.888 tỷ dư nợ trái phiếu VAMC phụ thuộc bán KCN Phong Phú,Vietnamdaily,2023-12-19 10:11:00
6,STB,27100,0,0.0,-0.039,-0.097,11022536,Báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền STB/VPBANKS/C/EU/6M/CASH/23-01,HOSE,2023-12-15 17:28:00
7,STB,27100,-350,-0.013,-0.051,-0.097,11020940,Thông báo phát hành và Bản cáo bạch chứng quyền có bảo đảm Chứng quyền STB/VIETCAP/M/Au/T/A5,HOSE,2023-12-14 14:19:00
8,STB,27450,-550,-0.02,-0.023,-0.062,11019807,Thông báo phát hành chứng quyền và Bản cáo bạch chào bán chứng quyền có bảo đảm Chứng quyền STB/VPBANKS/C/EU/6M/CASH/23-01,HOSE,2023-12-13 17:07:00
9,STB,28000,150,0.005,0.007,-0.043,11018619,Giấy chứng nhận chào bán chứng quyền có bảo đảm Chứng quyền STB/VIETCAP/M/Au/T/A5,HOSE,2023-12-12 17:03:00
