,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,TCB,34050,-100,-0.003,-0.01,0.133,11050905,TCB:  Thông báo ngày ĐKCC lấy ý kiến cổ đông bằng văn bản,HOSE,2024-01-17 09:49:00
1,TCB,34150,-250,-0.007,0.032,0.107,11046052,TCB:  CBTT Quyết định HĐQT về việc sửa đổi và ban hành Điều lệ,HOSE,2024-01-11 15:02:00
2,TCB,34150,-250,-0.007,0.032,0.107,11046053,TCB:  CBTT Nghị quyết HĐQT về ngày chốt danh sách để lấy ý kiến cổ đông bằng văn bản,HOSE,2024-01-11 15:00:00
3,TCB,34150,-250,-0.007,0.032,0.107,11046054,TCB:  Thông báo về ngày ĐKCC để thực hiện lấy ý kiến cổ đông bằng văn bản,HOSE,2024-01-11 14:59:00
4,TCB,34400,-100,-0.003,0.055,0.115,11044947,Đính chính báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền TCB/VIETCAP/M/Au/T/A5,HOSE,2024-01-10 17:00:00
5,TCB,33200,100,0.003,0.044,0.105,11040930,TCB:  Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 57,HOSE,2024-01-05 17:01:00
6,TCB,32600,500,0.016,0.057,0.079,11037700,TCB:  Thông báo về việc giao dịch cổ phiếu thay đổi đăng ký niêm yết,HOSE,2024-01-03 09:58:00
7,TCB,31800,300,0.01,0.039,0.064,11035550,TCB:  Quyết định của HĐQT về việc thay đổi địa điểm Phòng giao dịch Long Biên,HOSE,2023-12-29 18:12:00
8,TCB,31500,650,0.021,0.028,0.052,11033825,TCB:  Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Phan Thanh Sơn,HOSE,2023-12-28 16:44:00
9,TCB,31500,650,0.021,0.028,0.052,11033674,TCB:  Nghị quyết HĐQT về việc phê duyệt ký hợp đồng với CTCP One Mount Group,HOSE,2023-12-28 14:36:00
