,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,TPB,18350,-250,-0.013,-0.008,0.086,11051376,TPB:  CBTT Nghị quyết HĐQT thông qua cấp tín dụng cho NCLQ,HOSE,2024-01-17 15:07:00
1,TPB,18600,300,0.016,0.048,0.101,11050131,TPB:  CBTT Nghị quyết HĐQT thông qua cấp mới tín dụng cho NCLQ,HOSE,2024-01-16 14:46:00
2,TPB,18600,300,0.016,0.048,0.101,11050121,TPB:  CBTT Nghị quyết HĐQT thông qua tái cấp tăng hạn mức tín dụng cho KH là tổ chức có liên quan,HOSE,2024-01-16 14:45:00
3,TPB,18500,750,0.042,0.06,0.066,11044940,Đính chính báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền TPB/VIETCAP/M/Au/T/A2,HOSE,2024-01-10 16:59:00
4,TPB,18000,100,0.006,0.034,0.056,11040919,TPB:  Quyết định của HĐQT về việc thành lập và thay đổi địa điểm hoạt động chi nhánh Đông Anh,HOSE,2024-01-05 15:50:00
5,TPB,17400,100,0.006,0.03,0.033,11035517,TPB:  HĐQT thông qua việc gia hạn bảo lãnh cho Công ty TNHH PTCN Nhiệt lạnh và Môi trường FTD,HOSE,2023-12-29 17:36:00
6,TPB,16900,-100,-0.006,-0.006,-0.017,11026255,Báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền TPB/VIETCAP/M/Au/T/A2,HOSE,2023-12-20 17:34:00
7,TPB,16950,50,0.003,-0.029,-0.042,11022447,TPB:  CBTT Nghị quyết HĐQT thông qua cấp tín dụng cho NLQ của cổ đông lớn,HOSE,2023-12-15 15:32:00
8,TPB,16900,-100,-0.006,-0.037,-0.029,11020950,Thông báo phát hành và Bản cáo bạch chứng quyền có bảo đảm Chứng quyền TPB/VIETCAP/M/Au/T/A2,HOSE,2023-12-14 14:12:00
9,TPB,17350,0,0.0,0.018,0.006,11018618,Giấy chứng nhận chào bán chứng quyền có bảo đảm Chứng quyền TPB/VIETCAP/M/Au/T/A2,HOSE,2023-12-12 17:04:00
