,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,VCB,90000.0,0.0,0.0,0.025,0.104,11050171,"VCB:  CBTT Biên bản, Nghị quyết và Tài liệu họp ĐHĐCĐ bất thường tháng 11/2023",HOSE,2024-01-16 15:59:00
1,VCB,,,,,,11041204,"Vietcombank (VCB) hoàn thành tốt các chỉ tiêu kế hoạch năm 2023, đặt chỉ tiêu thận trọng cho năm 2024",DTCK,2024-01-06 15:48:00
2,VCB,86200.0,300.0,0.003,0.073,0.009,11040463,Vietcombank bổ nhiệm người đại diện theo pháp luật thay ông Phạm Quang Dũng,CafeF,2024-01-05 11:11:00
3,VCB,84500.0,1000.0,0.012,0.022,-0.017,11038244,VCB:  Thông báo thay đổi Giấy chứng nhận đăng ký doanh nghiệp lần thứ 17,HOSE,2024-01-03 15:37:00
4,VCB,84500.0,1000.0,0.012,0.022,-0.017,11038241,VCB:  Thông báo thay đổi nhân sự người đại diện theo pháp luật,HOSE,2024-01-03 15:35:00
5,VCB,82800.0,100.0,0.001,0.023,-0.035,11033824,VCB:  Thông báo thay đổi nhân sự,HOSE,2023-12-28 16:32:00
6,VCB,82800.0,100.0,0.001,0.023,-0.035,11033805,Ai phụ trách HĐQT Vietcombank sau khi ông Phạm Quang Dũng được bổ nhiệm làm Phó Thống đốc?,CafeF,2023-12-28 16:05:00
7,VCB,82800.0,1000.0,0.012,0.02,-0.035,11031075,VCB:  CBTT nhận được Quyết định bổ nhiệm ông Phạm Quang Dũng giữ chức Phó Thống đốc Ngân hàng Nhà nước Việt Nam,HOSE,2023-12-26 14:07:00
8,VCB,80900.0,-200.0,-0.002,-0.041,-0.066,11027427,VCB:  Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Nguyễn Thị Kim Oanh,HOSE,2023-12-21 17:58:00
9,VCB,81100.0,-100.0,-0.001,-0.031,-0.058,11026174,VCB:  Nghị quyết HĐQT về việc phê duyệt phương án phát hành trái phiếu VND riêng lẻ năm 2023,HOSE,2023-12-20 16:54:00
