,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,VGI,25600,-200,-0.008,0.02,-0.008,11033802,VGI: Công bố thông tin về giao dịch với các bên có liên quan,HNX,2023-12-28 15:52:00
1,VGI,26000,200,0.008,0.048,0.0,11031268,VGI: Nguyễn Thị Thanh Dung - người có liên quan đến Tổng Giám đốc - đã bán 0 CP,HNX,2023-12-26 16:53:00
2,VGI,25100,300,0.012,-0.027,-0.042,11026035,VGI: Công bố thông tin về giao dịch với các bên có liên quan,HNX,2023-12-20 14:01:00
3,VGI,26600,-500,-0.018,0.023,0.064,11014429,VGI: Tống Khánh Linh - người có liên quan đến Phó Tổng Giám đốc - đã bán 0 CP,HNX,2023-12-07 14:46:00
4,VGI,26800,-100,-0.004,0.023,-0.076,10989380,VGI: Nguyễn Thị Thanh Dung - người có liên quan đến Tổng Giám đốc - đăng ký bán 75.000 CP,HNX,2023-11-17 14:35:00
5,VGI,26600,0,0.0,-0.047,0.137,10971292,VGI: Báo cáo tài chính quý 3/2023,HNX,2023-10-30 16:37:00
6,VGI,26600,0,0.0,-0.047,0.137,10971266,VGI: Báo cáo tài chính quý 3/2023 (công ty mẹ),HNX,2023-10-30 16:20:00
7,VGI,26600,0,0.0,-0.047,0.137,10971106,Viettel Global: Doanh thu quý 3 đạt mức cao nhất từ trước đến nay,CafeF,2023-10-30 15:04:00
8,VGI,26600,0,0.0,-0.047,0.137,10970533,VGI: Công bố thông tin Nghị quyết HĐQT số 64/NQ-HĐQT-VTG về việc giải thể Văn phòng đại diện tại Myanmar,HNX,2023-10-30 10:01:00
9,VGI,29100,1100,0.039,0.025,0.233,10965622,VGI: Tống Khánh Linh - người có liên quan đến Phó Tổng Giám đốc - đăng ký bán 10.000 CP,HNX,2023-10-25 09:00:00
