,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,VHM,42700,-300,-0.007,-0.016,0.041,11044934,Đính chính báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền VHM/VIETCAP/M/Au/T/A3,HOSE,2024-01-10 16:57:00
1,VHM,43200,-500,-0.011,0.072,0.049,11035609,Vingroup hoàn tất mua gần 117 triệu cổ phiếu Vinhomes từ Vinpearl,CafeF,2023-12-29 19:50:00
2,VHM,43200,-500,-0.011,0.072,0.049,11035545,VHM:  Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Tập đoàn Vingroup-CTCP,HOSE,2023-12-29 18:03:00
3,VHM,43200,-500,-0.011,0.072,0.049,11035560,VHM:  Nghị quyết HĐQT về việc thông qua chủ trương giao dịch khung với bên có liên quan năm 2024,HOSE,2023-12-29 17:53:00
4,VHM,39950,450,0.011,-0.02,0.026,11026252,Báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền VHM/VIETCAP/M/Au/T/A3,HOSE,2023-12-20 17:37:00
5,VHM,39900,-400,-0.01,0.006,-0.037,11022519,"VHM: VIC đăng ký mua thoả thuận trên 116,74 triệu cổ phiếu",HOSE,2023-12-15 17:43:00
6,VHM,40300,-450,-0.011,0.015,-0.017,11020956,Thông báo phát hành và Bản cáo bạch chứng quyền có bảo đảm Chứng quyền VHM/VIETCAP/M/Au/T/A3,HOSE,2023-12-14 14:08:00
7,VHM,41050,50,0.001,0.014,-0.007,11018599,Giấy chứng nhận chào bán chứng quyền có bảo đảm Chứng quyền VHM/VIETCAP/M/Au/T/A3,HOSE,2023-12-12 17:17:00
8,VHM,39800,700,0.018,0.022,0.015,11004421,"VinHomes vừa huy động thành công 2.000 tỷ trái phiếu, lãi suất 12%/năm",CafeF,2023-11-27 11:41:00
9,VHM,39800,700,0.018,0.022,0.015,11004306,VHM:  CBTT về việc Công ty TNHH Phát triển BĐS SV Holding không còn là công ty con của VHM,HOSE,2023-11-27 10:07:00
