,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,VIB,21100,299,0.014,0.031,0.164,11054576,Thông báo điều chỉnh chứng quyền,HOSE,2024-01-19 15:43:00
1,VIB,21100,299,0.014,0.031,0.164,11054120,VIB:  Thông báo về ngày ĐKCC tham dự ĐHĐCĐ thường niên 2024,HOSE,2024-01-19 10:58:00
2,VIB,20461,-97,-0.005,0.017,0.096,11047510,VIB:  Thông báo ngày ĐKCC chốt danh sách cổ đông có quyền tham dự ĐHĐCĐ thường niên năm 2024,HOSE,2024-01-12 14:39:00
3,VIB,20461,-97,-0.005,0.017,0.096,11047141,VIB:  Thông báo về ngày ĐKCC chốt danh sách cổ đông để thực hiện chi trả cổ tức năm 2023 bằng tiền,HOSE,2024-01-12 10:36:00
4,VIB,20461,98,0.005,0.047,0.096,11044925,Đính chính báo cáo kết quả phân phối chứng quyền có bảo đảm Chứng quyền VIB/VIETCAP/M/Au/T/A2,HOSE,2024-01-10 16:55:00
5,VIB,20315,195,0.01,0.056,0.08,11042234,VIB:  Thông báo về ngày ĐKCC để chốt danh sách cổ đông thực hiện tạm ứng cổ tức năm 2023 bằng tiền,HOSE,2024-01-08 14:12:00
6,VIB,20315,195,0.01,0.056,0.08,11041320,"Ngân hàng đầu tiên trả cổ tức tiền mặt năm 2024, chốt danh sách cổ đông ngay trong tháng 1",CafeF,2024-01-08 07:51:00
7,VIB,19537,291,0.015,0.047,0.05,11037362,Thêm một ngân hàng hé lộ kết quả kinh doanh năm 2023,CafeF,2024-01-03 09:11:00
8,VIB,19100,438,0.023,0.048,0.051,11033813,VIB:  Nghị quyết và Biên bản kiểm phiếu ĐHĐCĐ lấy ý kiến cổ đông bằng văn bản,HOSE,2023-12-28 16:10:00
9,VIB,18662,48,0.003,0.027,0.041,11032448,VIB:  Thông báo công văn của NHNN về việc chấp thuận cho VIB thay đổi địa điểm Chi nhánh Bắc Ninh và khai trương hoạt động,HOSE,2023-12-27 15:17:00
