,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,VJC,107700.0,700.0,0.007,-0.002,0.018,11038377,VJC:  Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ HD Bank,HOSE,2024-01-03 17:48:00
1,VJC,,,,,,11035753,Hai nhà đầu tư sắp chi 1.850 tỷ mua cổ phiếu riêng lẻ của Vietjet Air,VNE,2023-12-31 11:02:00
2,VJC,108000.0,0.0,0.0,0.017,0.011,11035616,VJC:  Các Nghị quyết HĐQT về việc triển khai phương án chào bán cổ phiếu riêng lẻ,HOSE,2023-12-29 20:15:00
3,VJC,105000.0,2000.0,0.019,0.008,-0.007,11023834,VJC:  Nghị quyết ĐHĐCĐ theo hình thức lấy ý kiến cổ đông bằng văn bản và Biên bản kiểm phiếu,HOSE,2023-12-18 15:03:00
4,VJC,105800.0,700.0,0.007,-0.009,-0.014,11013273,VJC:  Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ HDBank,HOSE,2023-12-06 16:43:00
5,VJC,105800.0,700.0,0.007,-0.009,-0.014,11013047,Vietjet hoãn trả cổ tức bằng cổ phiếu để chào bán riêng lẻ giá 100.000 đồng/cp,Vietnamdaily,2023-12-06 15:23:00
6,VJC,105800.0,700.0,0.007,-0.009,-0.014,11013004,VJC:  Nghị quyết HĐQT về việc thông qua tài liệu lấy ý kiến cổ đông bằng văn bản,HOSE,2023-12-06 14:07:00
7,VJC,,,,,,11009431,Vietjet và Novus Aviation Captial ký kết thoả thuận tài chính tàu bay và hợp tác phát triển nhiên liệu hàng không bền vững,DTCK,2023-12-03 09:57:00
8,VJC,105000.0,-3200.0,-0.03,-0.032,0.014,11002867,VJC:  Thông báo về ngày ĐKCC lấy ý kiến cổ đông bằng văn bản,HOSE,2023-11-23 13:35:00
9,VJC,105500.0,-3000.0,-0.028,-0.032,0.025,10989101,VJC:  Nghị quyết HĐQT về việc thông qua ngày ĐKCC lấy ý kiến cổ đông bằng văn bản,HOSE,2023-11-17 11:49:00
