,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,VNM,67000.0,-200.0,-0.003,-0.018,-0.009,11049134,VNM:  Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan CT TNHH một thành viên Đầu tư SCIC (SIC),HOSE,2024-01-15 17:34:00
1,VNM,67900.0,400.0,0.006,-0.016,-0.023,11046166,VNM:  Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Platinum Victory Pte Ltd,HOSE,2024-01-11 16:44:00
2,VNM,67900.0,400.0,0.006,-0.016,-0.023,11046217,VNM:  Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Platinum Victory Pte Ltd,HOSE,2024-01-11 16:44:00
3,VNM,69000.0,0.0,0.0,0.007,0.01,11039558,VNM:  Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ F&N Dairy Investments PTE.LTD,HOSE,2024-01-04 15:59:00
4,VNM,69000.0,0.0,0.0,0.007,0.01,11039482,VNM:  Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan F&N Dairy Investments Pte. Ltd,HOSE,2024-01-04 15:08:00
5,VNM,67894.0,199.0,0.003,0.0,-0.007,11021072,VNM:  Thông báo ngày ĐKCC tạm ứng cổ tức đợt 2 năm 2023 bằng tiền,HOSE,2023-12-14 17:26:00
6,VNM,68886.0,-596.0,-0.009,0.019,0.01,11018580,"Thành viên thuộc SCIC muốn mua vào cổ phiếu VNM ngay trước khi Vinamilk chia cổ tức ""khủng""",CafeF,2023-12-12 17:15:00
7,VNM,68886.0,-596.0,-0.009,0.019,0.01,11018537,VNM:  Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ SCIC,HOSE,2023-12-12 16:15:00
8,VNM,,,,,,11016341,VNM chốt danh sách cổ đông chia cổ tức bằng tiền tỷ lệ 14%,VNE,2023-12-10 09:51:00
9,VNM,68489.0,595.0,0.009,0.009,-0.034,11016154,"Vinamilk (VNM) ""dồn dập"" chia cổ tức 2 đợt liên tiếp, tổng số tiền hơn 2.900 tỷ đồng",CafeF,2023-12-08 16:41:00
