,ticker,officerName,officerPosition,officerOwnPercent
0,AAM,LƯƠNG HOÀNG MÃNH,Chủ tịch Hội đồng Quản trị,0.3952
1,AAM,Nguyễn Thái Hưng,,0.0638
2,AAM,Vũ Thị Thanh Thủy,,0.0554
3,AAM,Võ Lương Ngọc,,0.049
6,AAM,Bùi Thùy Giang,,0.0486
8,AAM,Đoàn Đức Vịnh,,0.0387
4,AAM,Nguyễn Hoàng Anh,,0.038
5,AAM,Nguyễn Hoàng Nhơn,,0.032
7,AAM,Nguyễn Thị Chính,Thành viên Hội đồng Quản trị,0.0314
11,AAM,Nguyễn Đức Huy Vũ,,0.031
9,AAM,Trần Thị Bé Năm,Thành viên Hội đồng Quản trị,0.0223
10,AAM,Trần Thị Bé Năm,Thành viên Ban kiểm soát,0.0223
12,AAM,Trần Văn Quang,,0.0177
19,AAM,Ngô Thị Thó,,0.0131
13,AAM,Lương Hoàng Khánh Duy,Thành viên Hội đồng Quản trị,0.0122
15,AAM,Lương Hoàng Khánh Duy,Phụ trách Công bố thông tin,0.0122
14,AAM,Lương Hoàng Khánh Duy,Phó Giám đốc,0.0122
17,AAM,Lương Hoàng Duy,Thành viên Hội đồng Quản trị,0.0118
18,AAM,Lương Hoàng Duy,Phó Giám đốc,0.0118
16,AAM,Lương Hoàng Duy,Phó Chủ tịch Hội đồng Quản trị,0.0118
