,ticker,officerName,officerPosition,officerOwnPercent
0,AAT,Trịnh Xuân Lâm,,0.1184
1,AAT,Trịnh Xuân Lượng,Phó Chủ tịch Hội đồng Quản trị,0.0177
2,AAT,Lê Đăng Thuyết,,0.0087
3,AAT,Trịnh Văn Dương,,0.0079
4,AAT,Trịnh Xuân Dưỡng,,0.007
5,AAT,Tống Anh Linh,Giám đốc Tài chính,0.0061
6,AAT,Nguyễn Thị Dụ,,0.0017
7,AAT,Trịnh Kim Giang,,0.001
10,AAT,Lê Quyền,,0.0003
8,AAT,Lê Thị Oanh,,0.0002
9,AAT,Trịnh Thị Dung,,0.0002
17,AAT,Nguyễn Thị Hiền,Trưởng Ban Kiểm toán nội bộ ,0.0
11,AAT,Đinh Bộ Lễ,,0.0
12,AAT,Trịnh Văn Tâm,,0.0
13,AAT,Nguyễn Thị Giang,,0.0
14,AAT,Lê Văn Ngọc,,0.0
15,AAT,Lương Văn Quyết,,0.0
16,AAT,Lê Thị Trang,,0.0
18,AAT,,,0.0
19,AAT,Trịnh Xuân Tiến,,0.0
