,ticker,officerName,officerPosition,officerOwnPercent
0,AAV,Phạm Quang Khánh,,0.2357
1,AAV,Phạm Thanh Tùng,,0.0674
6,AAV,Nguyễn Sơn Cường,,0.0491
7,AAV,Nguyễn Thị Thanh Hương,,0.0483
2,AAV,Phạm Đức Văn,,0.0478
8,AAV,Hoàng thị Hà,,0.0473
4,AAV,Lê Sỹ Cường,Phó Tổng Giám đốc,0.0435
3,AAV,Lê Sỹ Cường,Phó Chủ tịch Hội đồng Quản trị,0.0435
5,AAV,Nguyễn Tuấn Anh,,0.0408
9,AAV,Nguyễn Đức Hạnh,,0.04
11,AAV,Dương Minh Hiếu,,0.018
10,AAV,Tôn Thị Liên,,0.0053
12,AAV,Nguyễn Văn Chuyên,,0.0024
17,AAV,Phan Văn Hải,Tổng Giám đốc,0.0
16,AAV,Phan Văn Hải,Thành viên Hội đồng Quản trị,0.0
18,AAV,Phan Văn Hải,Phụ trách Công bố thông tin,0.0
19,AAV,Nguyễn Thị Thơm,Người phụ trách quản trị công ty,0.0
13,AAV,Nguyễn Thành Giang,,0.0
14,AAV,Chu Xuân Hảo,,0.0
15,AAV,Nguyễn Thị Thanh Hòa,,0.0
