,ticker,officerName,officerPosition,officerOwnPercent
0,ABC,Vũ Hạnh Quyên,,0.1496
1,ABC,Vũ Hoàng Việt,,0.0392
3,ABC,Nguyễn Mạnh Hùng,Thành viên Hội đồng Quản trị,0.0147
2,ABC,Nguyễn Mạnh Hùng,Chủ tịch Hội đồng Quản trị,0.0147
6,ABC,Nguyễn Hoàng Nam,Tổng Giám đốc,0.0123
4,ABC,Trần Bình Dương,,0.0021
5,ABC,Đặng Thị Hường,,0.0019
7,ABC,Đỗ Ngọc Khuê,,0.0004
8,ABC,Phạm Minh Tuấn,,0.0002
9,ABC,Nguyễn Đăng Thắng,,0.0001
18,ABC,Nguyễn Thị Thùy Dương,Thành viên Hội đồng Quản trị,0.0
19,ABC,Lương Minh Tuấn,Thành viên Hội đồng Quản trị,0.0
15,ABC,Đỗ Kim Thúy,Thành viên Ban kiểm soát,0.0
10,ABC,Nguyễn Thị Thùy Linh,Phụ trách Công bố thông tin,0.0
17,ABC,,Phụ trách Công bố thông tin,0.0
11,ABC,Nguyễn Văn Tấn,,0.0
12,ABC,Hoàng Thị Nghĩa Ninh,,0.0
13,ABC,Torben Kjaer,,0.0
14,ABC,Lê Bá Khánh Anh,,0.0
16,ABC,Nguyễn Thị Thu Huyền,,0.0
