,ticker,officerName,officerPosition,officerOwnPercent
0,ACB,Trần Hùng Huy,,0.0343
1,ACB,Đặng Thu Thủy,Thành viên Hội đồng Quản trị,0.0119
2,ACB,Đặng Thu Hà,,0.0103
5,ACB,Nguyễn Thúy Lan,,0.0096
4,ACB,Nguyễn Thùy Hương,,0.009
6,ACB,Trần Phú Mỹ,,0.0083
7,ACB,Nguyễn Đức Kiên,Phó Chủ tịch Hội đồng Quản trị,0.0046
3,ACB,Đặng Phú Vinh,,0.0037
9,ACB,Phạm Trung Cang,,0.0017
10,ACB,Lê Vũ Kỳ,,0.0015
14,ACB,Huỳnh Thanh Thủy,Thành viên Hội đồng Quản trị,0.0011
13,ACB,Trần Tuyết Nga,,0.001
8,ACB,Đỗ Minh Toàn,Thành viên Hội đồng Quản trị,0.0007
11,ACB,Nguyễn Thành Long,Phó Chủ tịch Hội đồng Quản trị,0.0004
12,ACB,,,0.0004
16,ACB,TỪ TIẾN PHÁT,Tổng Giám đốc,0.0002
17,ACB,TỪ TIẾN PHÁT,Phó Tổng Giám đốc,0.0002
18,ACB,TỪ TIẾN PHÁT,Giám đốc khối,0.0002
15,ACB,Nguyễn Thị Bích Đào,,0.0002
19,ACB,Đặng Thị Thu Vân,,0.0002
