,ticker,officerName,officerPosition,officerOwnPercent
0,AGR,Hà Huy Toàn,,0.0168
1,AGR,Nguyễn Kim Hậu,,0.0036
2,AGR,Vũ Thị Thúy Hà,,0.0011
3,AGR,Phạm Văn Thành,,0.0002
4,AGR,Phan Văn Hiệp,,0.0001
5,AGR,Nguyễn Thị Cảnh,,0.0001
19,AGR,Đinh Ngọc Phương,Thành viên Hội đồng Quản trị độc lập,0.0
13,AGR,Bùi Đức Thắng,Phó Tổng Giám đốc,0.0
18,AGR,Đinh Ngọc Phương,Phó Tổng Giám đốc,0.0
6,AGR,Đinh Thị Hiền,,0.0
7,AGR,Mai Thị Thủy,,0.0
8,AGR,Vũ Xuân Toán,,0.0
9,AGR,Lê Xuân Sơn,,0.0
10,AGR,Ngô Thị Hoàng Nga,,0.0
11,AGR,Phạm Thị Hồng Thu,,0.0
12,AGR,Dương Sơn Tùng,,0.0
14,AGR,Lê Bích Thảo,,0.0
15,AGR,Nguyễn Thanh Bình,,0.0
16,AGR,Nguyễn Văn Minh,,0.0
17,AGR,Mai Khắc Chinh,,0.0
