,ticker,officerName,officerPosition,officerOwnPercent
8,APG,Nghiêm Thuận Ánh,,0.0948
0,APG,Nguyễn Hồ Hưng,Chủ tịch Hội đồng Quản trị,0.0702
13,APG,Mai Đức Chiến,,0.0564
1,APG,Nguyễn Quốc Thịnh,,0.0499
2,APG,Nguyễn Đức Hạnh,,0.0486
14,APG,Nguyễn Văn Thưởng,,0.0484
3,APG,Nguyễn Thanh Hà,,0.0481
15,APG,Đinh Thị Hồng Liên,,0.0471
4,APG,Lê Thị Mai Hòa,Trưởng Ban kiểm soát,0.047
5,APG,Đào Thị Quỳnh,,0.0442
6,APG,Lê Thị Hải Bình,,0.0415
16,APG,Nguyễn Thị Tâm,Thành viên Ban kiểm soát,0.0393
17,APG,Nguyễn Văn Hạnh,,0.0382
7,APG,Nguyễn Đoàn Mạnh Hiếu,,0.038
18,APG,Nguyễn Khắc Lanh,,0.029
11,APG,Mai Thanh Phương,,0.0288
10,APG,Trần Thiên Hà,Tổng Giám đốc,0.0078
9,APG,Trần Thiên Hà,Phó Chủ tịch Hội đồng Quản trị,0.0078
12,APG,Võ Quí Lâm,Thành viên Hội đồng Quản trị,0.0061
19,APG,Đỗ Thành Nhân,,0.0032
