,ticker,officerName,officerPosition,officerOwnPercent
0,BCM,NGUYỄN VĂN HÙNG,,0.006
1,BCM,Nguyễn Phú Thịnh,,0.0012
2,BCM,Phạm Ngọc Thuận,,0.001
3,BCM,Nguyễn Văn Hiền Phúc,Thành viên Hội đồng Quản trị độc lập,0.0009
4,BCM,Giang Quốc Dũng,,0.0006
5,BCM,Nguyễn Thị Thanh Nhàn,,0.0006
6,BCM,Quảng Văn Viết Cương,,0.0005
7,BCM,Nguyễn Danh Tùng,,0.0005
8,BCM,Nguyễn Văn Thanh Huy,,0.0004
9,BCM,Nguyễn Việt Long,,0.0002
16,BCM,Nguyễn Thị Yến Trúc,,0.0002
10,BCM,Hồ Hồng Thạch,Giám đốc Tài chính,0.0001
11,BCM,Nguyễn Tấn Lợi,,0.0001
12,BCM,Nguyễn Thị Thùy Dương,,0.0001
13,BCM,Nguyễn Thị Thanh An,,0.0001
14,BCM,Trần Ngọc Yến,,0.0
15,BCM,Nguyễn Hoàn Vũ,,0.0
17,BCM,Phan Thị Mỹ Kim,,0.0
18,BCM,Phạm Thị Lan Thảo,,0.0
19,BCM,Nguyễn Thị Thanh Hòa,,0.0
