,ticker,officerName,officerPosition,officerOwnPercent
0,BID,Trần Lục Lang,,0.0001
4,BID,Lê Đào Nguyên,Thành viên Hội đồng Quản trị,0.0
13,BID,Phan Thị Chinh,Thành viên Hội đồng Quản trị,0.0
1,BID,Trần Bắc Hà,,0.0
2,BID,Trần Anh Tuấn,,0.0
3,BID,Nguyễn Phước Hòa,,0.0
5,BID,Hoàng Huy Hà,,0.0
6,BID,Huỳnh Nam Dũng,,0.0
7,BID,PHAN ĐỨC TÚ,,0.0
8,BID,Lê Kim Hòa,,0.0
9,BID,Nguyễn Trung Hiếu,,0.0
10,BID,Trần Thanh Vân,,0.0
11,BID,Hoàng Thị Giang Hà,,0.0
12,BID,Phạm Đức Ấn,,0.0
14,BID,Lê Thị Kim Khuyên,,0.0
15,BID,Trần Phương,,0.0
16,BID,Nguyễn Huy Tựa,,0.0
17,BID,Trần Thị Kim Anh,,0.0
18,BID,Nguyễn Xuân Hòa,,0.0
19,BID,Huỳnh Nam Trung,,0.0
