,ticker,officerName,officerPosition,officerOwnPercent
6,BVH,Ông Tiến Hùng,Trưởng Ban kiểm soát,0.0001
8,BVH,Thân Hiền Anh,Thành viên Hội đồng Quản trị,0.0001
7,BVH,Ông Tiến Hùng,Thành viên Ban kiểm soát,0.0001
5,BVH,Nguyễn Xuân Hòa,Phụ trách Công bố thông tin,0.0001
4,BVH,Nguyễn Xuân Hòa,Kế toán trưởng,0.0001
3,BVH,Nguyễn Xuân Hòa,Giám đốc Tài chính,0.0001
0,BVH,Lương Thị Bích Ngọc,,0.0001
1,BVH,Nguyễn Xuân Việt,,0.0001
2,BVH,Đào Đình Thi,,0.0001
14,BVH,Nguyễn Đình An,Tổng Giám đốc,0.0
13,BVH,Nguyễn Đình An,Thành viên Hội đồng Quản trị,0.0
9,BVH,Nguyễn Ngọc Thụy,,0.0
10,BVH,Nguyễn Duy Khánh,,0.0
11,BVH,Đỗ Trường Minh,,0.0
12,BVH,Nguyễn Thị Phúc Lâm,,0.0
15,BVH,Phạm Ngọc Tú,,0.0
16,BVH,Hoàng Việt Hà,,0.0
17,BVH,Nguyễn Đức Tuấn,,0.0
18,BVH,Nguyễn Trung Thực,,0.0
19,BVH,Lê Quang Bình,,0.0
