,ticker,officerName,officerPosition,officerOwnPercent
0,FOX,,,0.0034
1,FOX,Nguyễn Văn Khoa,,0.0012
2,FOX,,,0.0007
3,FOX,Nguyễn Hoàng Linh,Tổng Giám đốc,0.0006
5,FOX,Hoàng Trung Kiên,,0.0005
4,FOX,Chu Hùng Thắng,,0.0004
6,FOX,Vũ Thị Mai Hương,,0.0003
7,FOX,Chu Thị Thanh Hà,,0.0002
8,FOX,Vũ Anh Tú,,0.0002
12,FOX,Trần Thị Hồng Lĩnh,Thành viên Hội đồng Quản trị,0.0
9,FOX,,Kế toán trưởng,0.0
13,FOX,Hoàng Việt Anh,Chủ tịch Hội đồng Quản trị,0.0
10,FOX,Nguyễn Thanh Bình,,0.0
11,FOX,Đỗ Thị Hương,,0.0
14,FOX,Đỗ Xuân Phúc,,0.0
15,FOX,Nguyễn Quốc Trị,,0.0
16,FOX,Lê Ngọc Diệp,,0.0
17,FOX,Phạm Công Minh,,0.0
18,FOX,Nguyễn Lương Tâm,,0.0
19,FOX,Nguyễn Hoàng Quyền,,0.0
