,ticker,officerName,officerPosition,officerOwnPercent
0,FPT,Trương Gia Bình,Chủ tịch Hội đồng Quản trị,0.0699
1,FPT,Bùi Quang Ngọc,Phó Chủ tịch Hội đồng Quản trị,0.0164
2,FPT,Trương Thị Thanh Thanh,Phó Chủ tịch Hội đồng Quản trị,0.015
5,FPT,Hoàng Minh Châu,Phó Tổng Giám đốc,0.0141
4,FPT,Hoàng Minh Châu,Phó Chủ tịch Hội đồng Quản trị,0.0141
6,FPT,Phan Ngô Tống Hưng,Phó Chủ tịch Hội đồng Quản trị,0.0134
3,FPT,Đỗ Cao Bảo,Thành viên Hội đồng Quản trị,0.0095
7,FPT,Nguyễn Thành Nam,,0.0094
13,FPT,Lê Quang Tiến,Phó Chủ tịch Hội đồng Quản trị,0.0063
11,FPT,Dương Dũng Triều,,0.0044
8,FPT,Nguyễn Thế Phương,Phó Tổng Giám đốc,0.0033
9,FPT,Nguyễn Thế Phương,Người phụ trách quản trị công ty,0.0033
10,FPT,Nguyễn Văn Khoa,,0.0027
16,FPT,Nguyễn Minh Sơn,Thành viên Ban kiểm soát,0.0025
14,FPT,Nguyễn Khắc Thành,,0.0024
12,FPT,Hoàng Việt Anh,,0.0023
15,FPT,Nguyễn Khải Hoàn,Thành viên Ban kiểm soát,0.0009
17,FPT,Đỗ Thị Ngọc Mai,,0.0007
18,FPT,Nguyễn Thị Dư,,0.0007
19,FPT,Đỗ Bảo Dương,,0.0006
