,ticker,officerName,officerPosition,officerOwnPercent
1,GAS,Nguyễn Thị Lan,Chủ tịch Hội đồng Quản trị,0.0001
0,GAS,Đỗ Khang Ninh,,0.0001
19,GAS,,Phụ trách Công bố thông tin,0.0
12,GAS,Phạm Hồng Lĩnh,Phó Tổng Giám đốc,0.0
16,GAS,Trần Nhật Huy,Phó Tổng Giám đốc,0.0
2,GAS,Trần Hưng Hiển,,0.0
3,GAS,Phan Quốc Nghĩa,,0.0
4,GAS,Lê Như Linh,,0.0
5,GAS,Bùi Ngọc Ân,,0.0
6,GAS,Phạm Đình Đạt,,0.0
7,GAS,Hoàng Văn Quang,,0.0
8,GAS,Nguyễn Thị Minh Tâm,,0.0
9,GAS,Nguyễn Thị Bích Nhài,,0.0
10,GAS,Đinh Ngọc Huy,,0.0
11,GAS,Lê Thị Thảo,,0.0
13,GAS,Dương Thị Bích Đào,,0.0
14,GAS,Võ Thị Thanh Ngọc,,0.0
15,GAS,Đỗ Tấn,,0.0
17,GAS,,,0.0
18,GAS,,,0.0
