,ticker,officerName,officerPosition,officerOwnPercent
2,GVR,Trần Ngọc Thuận,Thành viên Hội đồng Quản trị,0.0001
0,GVR,Phạm Văn Thành,,0.0001
1,GVR,Nguyễn Cửu Tuệ,,0.0001
19,GVR,Nguyễn Thị Nhàn,,0.0001
16,GVR,Lê Thanh Hưng,Tổng Giám đốc,0.0
15,GVR,Lê Thanh Hưng,Thành viên Hội đồng Quản trị,0.0
4,GVR,Huỳnh Kim Nhựt,Phó Tổng Giám đốc,0.0
6,GVR,Đỗ Hữu Phước,Phó Tổng Giám đốc,0.0
18,GVR,Trần Công Kha,Phó Tổng Giám đốc,0.0
17,GVR,Trần Công Kha,Chủ tịch Hội đồng Quản trị,0.0
3,GVR,Nguyễn Thái Bình,,0.0
5,GVR,Hoàng Đình Trí,,0.0
7,GVR,Trần Đức Thuận,,0.0
8,GVR,Trần Thanh Phụng,,0.0
9,GVR,Trương Minh Trung,,0.0
10,GVR,Hà Văn Khương,,0.0
11,GVR,Giang Hoa Vũ,,0.0
12,GVR,Nguyễn Tiến Đức,,0.0
13,GVR,Lê Thanh Tú,,0.0
14,GVR,Huỳnh Văn Bảo,,0.0
