,ticker,officerName,officerPosition,officerOwnPercent
2,HDB,PHẠM VĂN ĐẨU,Phụ trách Công bố thông tin,0.0431
0,HDB,PHẠM VĂN ĐẨU,Phó Tổng Giám đốc,0.0431
3,HDB,PHẠM VĂN ĐẨU,Người phụ trách quản trị công ty,0.0431
1,HDB,PHẠM VĂN ĐẨU,Giám đốc Tài chính,0.0431
4,HDB,NGUYỄN THỊ PHƯƠNG THẢO,Phó Chủ tịch Hội đồng Quản trị,0.037
8,HDB,Lưu Văn Sơn,,0.0301
5,HDB,Nguyễn Hữu Đặng,,0.0276
6,HDB,Đào Duy Tường,Trưởng Ban kiểm soát,0.0274
7,HDB,Phạm Khắc Dũng,,0.0121
11,HDB,Nguyễn Hữu Thành,,0.0116
10,HDB,Lưu Thị Việt Hồng,,0.0034
9,HDB,Lưu Đức Khánh,Phó Chủ tịch Hội đồng Quản trị,0.0029
12,HDB,PHẠM QUỐC THANH,Thành viên Hội đồng Quản trị,0.0016
13,HDB,PHẠM QUỐC THANH,Người đại diện theo pháp luật,0.0016
14,HDB,,,0.0015
15,HDB,Trần Hoài Nam,,0.0008
17,HDB,Nguyễn Cảnh Sơn,,0.0003
16,HDB,Nguyễn Lê Hiếu,Thành viên Ban kiểm soát,0.0002
18,HDB,Đào Anh Minh,,0.0002
19,HDB,LÊ THANH TÙNG,Phó Tổng Giám đốc,0.0001
