,ticker,officerName,officerPosition,officerOwnPercent
0,HPG,Trần Đình Long,Chủ tịch Hội đồng Quản trị,0.258
1,HPG,Vũ Thị Hiền,,0.0688
2,HPG,TRẦN TUẤN DƯƠNG,,0.0231
3,HPG,Trần Vũ Minh,,0.023
4,HPG,Nguyễn Mạnh Tuấn,Phó Chủ tịch Hội đồng Quản trị,0.0227
5,HPG,Nguyễn Ngọc Quang,Thành viên Hội đồng Quản trị,0.0178
6,HPG,Doãn Gia Cường,Phó Chủ tịch Hội đồng Quản trị,0.0125
18,HPG,Chu Quân,Thành viên Hội đồng Quản trị,0.0049
7,HPG,Hoàng Quang Việt,Thành viên Hội đồng Quản trị,0.0045
8,HPG,NGUYỄN VIỆT THẮNG,,0.0032
9,HPG,Nguyễn Đức Duy,,0.0018
10,HPG,Nguyễn Tuấn Tú,,0.0018
11,HPG,Phan Thị Thu Lan,,0.0018
12,HPG,Đào Thị Thanh Phượng,,0.0013
17,HPG,Tạ Tuấn Quang,,0.0013
13,HPG,Trần Bảo Ngọc,,0.0012
14,HPG,Trần Gia Bảo,,0.0012
15,HPG,Trần Ngọc Diệp,,0.0012
16,HPG,Nguyễn Hà My,,0.0009
19,HPG,Nguyễn Hồng Vân,,0.0003
