,ticker,officerName,officerPosition,officerOwnPercent
13,MBB,Lê Văn Bé,Phó Chủ tịch Hội đồng Quản trị,0.0011
0,MBB,Lưu Trung Thái,Chủ tịch Hội đồng Quản trị,0.001
1,MBB,Đỗ Văn Hưng,,0.001
7,MBB,Lê Công,,0.001
4,MBB,Vũ Thị Hải Phượng,Trưởng Ban kiểm soát,0.0005
5,MBB,Vũ Thị Hải Phượng,Phụ trách Công bố thông tin,0.0005
2,MBB,Trần Minh Đạt,Phó Tổng Giám đốc,0.0005
3,MBB,Vũ Thị Hải Phượng,Phó Chủ tịch Hội đồng Quản trị,0.0005
6,MBB,Nguyễn Thị An Bình,,0.0005
16,MBB,Đặng Quốc Tiến,,0.0005
17,MBB,Vương Thị Lan Anh,,0.0005
9,MBB,Nguyễn Thị Thủy,Thành viên Hội đồng Quản trị,0.0004
10,MBB,Phạm Thị Trung Hà,Phó Tổng Giám đốc,0.0004
8,MBB,Lê Thị Lợi,,0.0004
11,MBB,Nguyễn Trần Phương,,0.0003
12,MBB,Lê Quốc Minh,,0.0003
14,MBB,Nguyễn Thị Thanh Nga,,0.0003
15,MBB,Phạm Thu Ngọc,,0.0003
18,MBB,Lê Hữu Đức,,0.0002
19,MBB,Nguyễn Quỳnh Mai,,0.0002
