,ticker,officerName,officerPosition,officerOwnPercent
0,MFS,Nguyễn Duy Hưng,,0.1991
1,MFS,Lê Dũng,,0.0348
2,MFS,Nguyễn Văn Chiến,,0.0326
3,MFS,Phan Tiến Dũng,,0.0197
4,MFS,Vũ Quang Hải,,0.0035
5,MFS,Trần Minh Đức,Thành viên Hội đồng Quản trị,0.0006
6,MFS,Phan Tuấn Anh,,0.0003
7,MFS,Tường Duy Phúc,,0.0003
8,MFS,Tống Thị Thanh Giang,,0.0002
16,MFS,Cao Thành Chung,Trưởng Ban kiểm soát,0.0
9,MFS,Nguyễn Thái Hà,Thành viên Hội đồng Quản trị,0.0
10,MFS,Nguyễn Ngọc Thảo,Thành viên Hội đồng Quản trị,0.0
11,MFS,Nguyễn Ngọc Thảo,Phó Tổng Giám đốc,0.0
15,MFS,Nguyễn Anh Tú,Kế toán trưởng,0.0
12,MFS,Trần Thị Hằng,,0.0
13,MFS,Đinh Trọng Nghĩa,,0.0
14,MFS,Lê Đức Mạnh,,0.0
17,MFS,Lê Hải Yến,,0.0
18,MFS,Phạm Thị Thu Hằng,,0.0
