,ticker,officerName,officerPosition,officerOwnPercent
0,MSN,Nguyễn Hoàng Yến,Thành viên Hội đồng Quản trị,0.0358
1,MSN,Madhur Maini,Thành viên Hội đồng Quản trị,0.0088
2,MSN,Nguyễn Thị Thanh Thủy,,0.0054
3,MSN,Michael Hùng Nguyễn,Phó Tổng Giám đốc,0.0025
4,MSN,Michael Hùng Nguyễn,Giám đốc Tài chính,0.0025
5,MSN,Danny Le,Tổng Giám đốc,0.0024
6,MSN,Danny Le,Người đại diện theo pháp luật,0.0024
7,MSN,Nguyễn Thiều Quang,,0.0019
8,MSN,Nguyễn Quỳnh Lâm,,0.0015
9,MSN,,,0.0008
10,MSN,Nguyễn Anh Nguyên,,0.0007
11,MSN,Nguyễn Thiều Nam,Thành viên Hội đồng Quản trị,0.0005
12,MSN,Nguyễn Thiều Nam,Phó Tổng Giám đốc,0.0005
14,MSN,Trần Quang Chúc,Phụ trách Công bố thông tin,0.0004
13,MSN,Phạm Đình Toại,,0.0003
17,MSN,Trần Phương Bắc,Phụ trách Công bố thông tin,0.0001
16,MSN,Đoàn Thị Mỹ Duyên,Giám đốc Tài chính,0.0001
15,MSN,Đặng Thị Bình An,,0.0001
18,MSN,Trần Thị Minh Nguyệt,,0.0001
19,MSN,Nguyễn Huy Hùng,Kế toán trưởng,0.0
