,ticker,officerName,officerPosition,officerOwnPercent
0,MWG,Nguyễn Đức Tài,Chủ tịch Hội đồng Quản trị,0.0242
11,MWG,Đinh Anh Huân,,0.0222
8,MWG,ĐIÊU CHÍNH HẢI TRIỀU,,0.008
2,MWG,Trần Huy Thanh Tùng,Tổng Giám đốc,0.0076
1,MWG,Trần Huy Thanh Tùng,Thành viên Hội đồng Quản trị,0.0076
3,MWG,Trần Huy Thanh Tùng,Thành viên Ban Kiểm toán nội bộ,0.0076
4,MWG,Trần Kinh Doanh,Thành viên Hội đồng Quản trị,0.0065
5,MWG,Robert Alan Willett,Thành viên Hội đồng Quản trị,0.0055
9,MWG,Nguyễn Xuân Đoài,,0.0051
6,MWG,Nguyễn Thị Thu Hương,,0.0046
7,MWG,Phan Thị Thu Hiền,,0.004
10,MWG,Đặng Minh Lượm,Thành viên Hội đồng Quản trị,0.0022
12,MWG,Đoàn Văn Hiểu Em,,0.002
13,MWG,Vũ Đăng Linh,Giám đốc Tài chính,0.0009
14,MWG,Lý Trần Kim Ngân,Kế toán trưởng,0.0008
15,MWG,Nguyễn Thị Thu Thảo,,0.0006
16,MWG,Nguyễn Thị Thu Tâm,,0.0004
17,MWG,Lê Thị Thu Trang,,0.0002
18,MWG,Trần Huy Đông,,0.0001
19,MWG,Trần Huy Thanh Đại,,0.0001
