,ticker,officerName,officerPosition,officerOwnPercent
0,PAI,Nguyễn Việt Anh,,0.0024
2,PAI,Đào Quang Ngọc,,0.0004
3,PAI,Đào Việt Phương,,0.0002
1,PAI,Vũ Trường Quang,,0.0001
10,PAI,Nguyễn Mạnh Cường,Thành viên Hội đồng Quản trị,0.0
4,PAI,Nguyễn Ngọc Lan,,0.0
5,PAI,Lê Xuân Thắng,,0.0
6,PAI,Phùng Việt Long,,0.0
7,PAI,Đỗ Thị Bích Hà,,0.0
8,PAI,Vũ Quốc Anh,,0.0
9,PAI,Phạm Hùng Anh,,0.0
11,PAI,Nguyễn Minh Đức,,0.0
12,PAI,Nguyễn Thị Kim Anh,,0.0
13,PAI,NGUYỄN NGỌC ANH,,0.0
14,PAI,Nguyễn Xuân Hưng,,0.0
15,PAI,Hoàng Dương,,0.0
16,PAI,NGUYỄN QUANG TRUNG,,0.0
17,PAI,Vũ Quang Dũng,,0.0
18,PAI,Lê Ngọc Diệp,,0.0
19,PAI,Thái Việt Anh,,0.0
