,ticker,officerName,officerPosition,officerOwnPercent
0,PIA,Hoàng Hải Đường,,0.1005
18,PIA,HOÀNG HẢI ĐƯỜNG,,0.1005
1,PIA,Peter Eric Dennis,,0.0517
2,PIA,PHAN THANH SƠN,Người đại diện theo pháp luật,0.0203
4,PIA,TRẦN NGỌC TUẤN,Thành viên Hội đồng Quản trị,0.0175
6,PIA,TRẦN NGỌC TUẤN,Người đại diện theo pháp luật,0.0175
5,PIA,TRẦN NGỌC TUẤN,Giám đốc,0.0175
3,PIA,TRẦN NGỌC TUẤN,Chủ tịch Hội đồng Quản trị,0.0175
7,PIA,Hoàng Minh Phương,,0.0144
8,PIA,Đặng Thị Hồng Hà,,0.0033
9,PIA,Phan Tùng Lâm,,0.0012
10,PIA,Trần Quang Hùng,,0.001
11,PIA,Cao Thị Hồng Vân,,0.0009
12,PIA,Nguyễn Văn Quý,Thành viên Hội đồng Quản trị,0.0007
13,PIA,Nguyễn Văn Quý,Phó Giám đốc,0.0007
14,PIA,Vũ Thị Hằng,,0.0005
15,PIA,Nguyễn Đàm Kiên,,0.0003
16,PIA,Nguyễn Thị Bích Thúy,,0.0003
17,PIA,Đặng Tuấn Anh,,0.0003
19,PIA,Đỗ Thùy Linh,Thành viên Ban kiểm soát,0.0
