,ticker,officerName,officerPosition,officerOwnPercent
17,PLX,Đào Nam Hải,Tổng Giám đốc,0.0
12,PLX,Trần Ngọc Năm,Thành viên Hội đồng Quản trị,0.0
16,PLX,Đào Nam Hải,Thành viên Hội đồng Quản trị,0.0
13,PLX,Trần Ngọc Năm,Phó Tổng Giám đốc,0.0
0,PLX,Bùi Ngọc Bảo,,0.0
1,PLX,Nguyễn Thanh Sơn,,0.0
2,PLX,Phạm Đức Thắng,,0.0
3,PLX,Vũ Lâm,,0.0
4,PLX,Trần Văn Thịnh,,0.0
5,PLX,,,0.0
6,PLX,Nguyễn Anh Dũng,,0.0
7,PLX,Nguyễn Quang Dũng,,0.0
8,PLX,Đinh Viết Tiến,,0.0
9,PLX,Hoàng Mai Ninh,,0.0
10,PLX,Lê Văn Hướng,,0.0
11,PLX,Nguyễn Xuân Hùng,,0.0
14,PLX,Trần Ngọc Năm,,0.0
15,PLX,Đặng Thị Hồng Hà,,0.0
18,PLX,Lê Thị Thu Hà,,0.0
19,PLX,Hoàng Thị Yến Oanh,,0.0
