,ticker,officerName,officerPosition,officerOwnPercent
19,POW,Nguyễn Bá Phước,Thành viên Hội đồng Quản trị độc lập,0.0
8,POW,Ngô Văn Chiến,Phó Tổng Giám đốc,0.0
0,POW,Vũ Huy An,,0.0
1,POW,Hồ Công Kỳ,,0.0
2,POW,Nguyễn Thị Ngọc Bích,,0.0
3,POW,Hoàng Văn Nghiệp,,0.0
4,POW,Phạm Xuân Trường,,0.0
5,POW,Nguyễn Duy Giang,,0.0
6,POW,,,0.0
7,POW,Nguyễn Ngọc Hà,,0.0
9,POW,Phan Đại Thành,,0.0
10,POW,Lý Thị Thu Hương,,0.0
11,POW,Vũ Thị Ngọc Dung,,0.0
12,POW,Võ Thị Tú Oanh,,0.0
13,POW,Nguyễn Đình Thi,,0.0
14,POW,Nguyễn Hữu Quý,,0.0
15,POW,Phí Anh Đức,,0.0
16,POW,Trần Mùi,,0.0
17,POW,Trần Dạ Thu,,0.0
18,POW,Trương Thị Thùy,,0.0
