,ticker,officerName,officerPosition,officerOwnPercent
0,PTP,Nguyễn Hồng Lâm,,0.1506
1,PTP,Đỗ Vân Anh,,0.02
3,PTP,Ngô Mạnh Hùng,Tổng Giám đốc,0.0066
2,PTP,Ngô Mạnh Hùng,Thành viên Hội đồng Quản trị,0.0066
4,PTP,An Văn Tâm,,0.0029
5,PTP,Huỳnh Quang Vinh,,0.0023
6,PTP,Nguyễn Triệu Long,,0.0015
7,PTP,Phạm Thị Tần,Thành viên Ban kiểm soát,0.0009
8,PTP,Nguyễn Trọng Thấn,Thành viên Hội đồng Quản trị,0.0007
10,PTP,Hà Đình Hùng,Thành viên Hội đồng Quản trị,0.0007
9,PTP,Nguyễn Trọng Thấn,Phó Tổng Giám đốc,0.0007
11,PTP,Hà Đình Hùng,Phó Giám đốc,0.0007
14,PTP,Nguyễn Đình Giang,Trưởng Ban kiểm soát,0.0006
12,PTP,Đỗ Văn Tấn,Thành viên Hội đồng Quản trị,0.0006
13,PTP,Đỗ Văn Tấn,Phó Tổng Giám đốc,0.0006
15,PTP,Lê Thị Mai Anh,,0.0005
16,PTP,Nguyễn Thị Thúy Vân,,0.0004
17,PTP,Nguyễn Thị Thủy,,0.0004
18,PTP,Đỗ Hữu Hải,Thành viên Hội đồng Quản trị,0.0003
19,PTP,Đỗ Hữu Hải,Giám đốc Nhà máy - Xí nghiệp,0.0003
