,ticker,officerName,officerPosition,officerOwnPercent
0,SAB,Chung Trí Dũng,,0.0
1,SAB,Phạm Thị Hồng Hạnh,,0.0
2,SAB,Nguyễn Thành Nam,,0.0
3,SAB,Trần Nguyên Trung,,0.0
4,SAB,Nguyễn Văn Minh,,0.0
5,SAB,Nguyễn Thị Kim Khánh,,0.0
6,SAB,Bùi Ngọc Hạnh,,0.0
7,SAB,NGUYỄN TIẾN DŨNG,,0.0
8,SAB,Lê Hồng Xanh,,0.0
9,SAB,Nguyễn Thị Thu Hà,,0.0
10,SAB,Nguyễn Việt Tuấn,,0.0
11,SAB,Lý Minh Hoàng,,0.0
12,SAB,LÂM DU AN,,0.0
13,SAB,Nguyễn Văn Lộc,,0.0
14,SAB,"Tan Tiang Hing, Malcolm",,0.0
15,SAB,Sunyaluck Chaikajornwat,,0.0
16,SAB,Koh Poh Tiong,,0.0
17,SAB,NEO GIM SIONG BENNETT,,0.0
18,SAB,Teo Hong Keng,,0.0
19,SAB,Melvyn Ng Kuan Ngee,,0.0
