,ticker,officerName,officerPosition,officerOwnPercent
1,SHB,Đỗ Vinh Quang,,0.0296
0,SHB,Đỗ Quang Hiển,Chủ tịch Hội đồng Quản trị,0.0275
2,SHB,Đỗ Thị Thu Hà,,0.0206
3,SHB,Đỗ Thị Minh Nguyệt,,0.0071
4,SHB,NGUYỄN VĂN LÊ,,0.0023
7,SHB,Trần Ngọc Linh,,0.002
8,SHB,Phan Huy Chí,,0.0017
6,SHB,Ngô Thu Hà,Tổng Giám đốc,0.0007
5,SHB,Ngô Thu Hà,Thành viên Hội đồng Quản trị,0.0007
9,SHB,Đặng Tố Loan,,0.0007
14,SHB,Đàm Ngọc Bích,Thành viên Hội đồng Quản trị,0.0003
12,SHB,Đỗ Quang Vinh,Phó Tổng Giám đốc,0.0003
11,SHB,Đỗ Quang Vinh,Phó Chủ tịch Hội đồng Quản trị,0.0003
10,SHB,Vũ Thị Lệ Quyên,,0.0003
13,SHB,Nguyễn Ngọc Phụng,,0.0003
16,SHB,Phạm Hòa Bình,Trưởng Ban kiểm soát,0.0001
15,SHB,Nguyễn Thị Mi,,0.0001
19,SHB,Đặng Trung Dũng,,0.0001
17,SHB,Ninh Thị Lan Phương,Phó Tổng Giám đốc,0.0
18,SHB,Võ Đức Tiến,,0.0
