,ticker,officerName,officerPosition,officerOwnPercent
1,SSB,Nguyễn Thị Nga,Phó Chủ tịch Hội đồng Quản trị,0.037
0,SSB,Nguyễn Thị Nga,Chủ tịch Hội đồng Quản trị,0.037
2,SSB,Lê Hữu Báu,,0.0349
3,SSB,LÊ THU THỦY,Phó Chủ tịch Hội đồng Quản trị,0.0232
4,SSB,Lê Tuấn Anh,,0.0207
5,SSB,Khúc Thị Quỳnh Lâm,Phó Chủ tịch Hội đồng Quản trị,0.0037
7,SSB,Lê Văn Tần,Phó Chủ tịch Hội đồng Quản trị,0.0036
8,SSB,Lê Văn Tần,Người đại diện theo pháp luật,0.0036
6,SSB,Lê Văn Tần,Chủ tịch Hội đồng Quản trị,0.0036
9,SSB,Ngô Thị Nhài,Thành viên Hội đồng Quản trị,0.0034
11,SSB,Hoàng Minh Tân,,0.0024
10,SSB,Vũ Thị Ngọc Quỳnh,,0.0021
12,SSB,Bùi Trung Kiên,,0.0021
13,SSB,Lê Quốc Long,Tổng Giám đốc,0.0014
15,SSB,Nguyễn Thị Phượng,,0.0013
14,SSB,Nguyễn Thị Thu Hương,,0.0011
17,SSB,Nguyễn Ngọc Quỳnh,Phụ trách Công bố thông tin,0.0007
16,SSB,Nguyễn Ngọc Quỳnh,Phó Tổng Giám đốc,0.0007
18,SSB,Hoàng Mạnh Phú,,0.0005
19,SSB,Vũ Đình Khoán,,0.0005
