,ticker,officerName,officerPosition,officerOwnPercent
0,STB,Trầm Trọng Ngân,,0.0473
1,STB,Dương Công Minh,,0.0332
2,STB,Trầm Khải Hòa,,0.0177
3,STB,Trầm Bê,,0.0147
4,STB,Trầm Thuyết Kiều,,0.0144
6,STB,Huỳnh Quế Hà,Phó Chủ tịch Hội đồng Quản trị,0.013
5,STB,Phan Huy Khang,,0.0119
7,STB,Dương Thị Liêm,,0.0062
8,STB,Dương Hoàng Quỳnh Như,,0.0051
11,STB,Nguyễn Ngọc Thái Bình,Thành viên Hội đồng Quản trị,0.0022
10,STB,NGUYỄN NGỌC THÁI BÌNH,,0.0022
9,STB,Nguyễn Thị Minh Quang,,0.0018
12,STB,Lê Trọng Trí,,0.0011
13,STB,Nguyễn Tấn Thành,,0.001
14,STB,Lê Văn Tòng,Thành viên Ban kiểm soát,0.0006
17,STB,Trần Xuân Huy,,0.0004
19,STB,Lưu Huỳnh,Phó Tổng Giám đốc,0.0003
15,STB,Nguyễn Văn Nhân,,0.0003
16,STB,Nguyễn Văn Cựu,,0.0003
18,STB,Lý Hoài Văn,,0.0002
