,ticker,officerName,officerPosition,officerOwnPercent
0,TCB,Nguyễn Thị Thanh Thủy,,0.0495
1,TCB,Hồ Anh Minh,,0.049
2,TCB,Hồ Thủy Anh,,0.0298
3,TCB,Nguyễn Phương Hoa,,0.0216
4,TCB,Hồ Minh Anh,,0.0205
5,TCB,Nguyễn Hương Liên,,0.0198
6,TCB,HỒ HÙNG ANH,,0.0112
7,TCB,Nguyễn Thiều Quang,Phó Chủ tịch Hội đồng Quản trị,0.0086
8,TCB,Nguyễn Cảnh Sơn Tùng,,0.006
9,TCB,Nguyễn Cảnh Sơn,Phó Chủ tịch Hội đồng Quản trị,0.0051
10,TCB,Phạm Hiền Trang,,0.0031
12,TCB,Nguyễn Đăng Quang,Thành viên Hội đồng Quản trị,0.0027
11,TCB,Nguyễn Đăng Quang,Phó Chủ tịch Hội đồng Quản trị,0.0027
13,TCB,Nguyễn Lê Quốc Anh,,0.0017
14,TCB,Trịnh Bằng,,0.0017
15,TCB,Nguyễn Thu Hiền,,0.0009
16,TCB,Phan Thanh Sơn,,0.0006
17,TCB,Phùng Quang Hưng,,0.0006
18,TCB,Lê Anh Tuấn,,0.0004
19,TCB,Phạm Quang Thắng,,0.0004
