,ticker,officerName,officerPosition,officerOwnPercent
0,TPB,Đỗ Anh Tú,Phó Chủ tịch Hội đồng Quản trị,0.0371
1,TPB,Lê Quang Tiến,Phó Chủ tịch Hội đồng Quản trị,0.0361
2,TPB,Đỗ Minh Quân,,0.0334
3,TPB,Đỗ Quỳnh Anh,,0.0307
4,TPB,Đỗ Minh Đức,,0.0111
5,TPB,Đỗ Vũ Phương Anh,,0.0111
8,TPB,Trương Gia Bình,Thành viên Hội đồng Quản trị,0.0019
9,TPB,Bùi Thị Thanh Hương,,0.0015
11,TPB,Đào Trọng Khanh,Tổng Giám đốc,0.0009
6,TPB,Trung Thị Lâm Ngọc,,0.0009
13,TPB,Trương Thị Cúc Hương,Phó Tổng Giám đốc,0.0008
16,TPB,Phan Thanh Sơn,Phó Tổng Giám đốc,0.0007
17,TPB,Trần Thị Nguyệt Oanh,Phó Tổng Giám đốc,0.0007
15,TPB,Vũ Quốc Khánh,,0.0007
10,TPB,Nguyễn Hưng,,0.0006
7,TPB,Nguyễn Hưng,Tổng Giám đốc,0.0005
14,TPB,Trần Văn Phong,,0.0004
12,TPB,Nguyễn Việt Anh,Phó Tổng Giám đốc,0.0002
18,TPB,KHÚC VĂN HỌA,Phó Tổng Giám đốc,0.0002
19,TPB,Nguyễn Hồng Quân,Phó Tổng Giám đốc,0.0002
