,ticker,officerName,officerPosition,officerOwnPercent
0,TTN,Quảng Văn Viết Cương,,0.002
1,TTN,Giang Quốc Dũng,,0.002
2,TTN,Võ Thị Thanh Hương,,0.0015
3,TTN,Huỳnh Kim Thảo,,0.0014
10,TTN,Nguyễn Thanh Khiết,,0.0012
4,TTN,Huỳnh Quang Hải,,0.0011
5,TTN,Lê Xuân Vinh,,0.0009
6,TTN,Đặng Thanh Hưng,,0.0009
12,TTN,Nguyễn Văn Hiệu,,0.0009
7,TTN,Lại Xuân Nghĩa,,0.0008
8,TTN,NGUYỄN VĂN PHÚC,,0.0008
9,TTN,NGUYỄN BÁ THƯỚC,,0.0008
11,TTN,Ngô Duy Khang,,0.0008
14,TTN,Nguyễn Thị Thùy Dương,Trưởng Ban kiểm soát,0.0005
13,TTN,Nguyễn Thị Thanh Nhàn,,0.0005
15,TTN,Lê Thị Xuân Diệu,,0.0005
16,TTN,Phạm Thị Lan Thảo,,0.0004
17,TTN,Huỳnh Song Ngọc Trang,,0.0001
18,TTN,Võ Trần Phương Anh,,0.0001
19,TTN,Võ Minh Trung,,0.0
